,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,71,35,11,0.0,1.0,105,0,4,2,4,3,0,0,0,0
1,3,67,33,7,3.0,1.0,95,0,0,0,0,1,-4,-2,-1,-1
2,6,59,28,11,6.0,1.0,105,1,-8,-5,4,3,-3,-2,-1,-2
3,9,67,33,7,9.0,1.0,95,1,0,0,0,1,5,3,1,-1
4,12,67,33,7,12.0,1.0,105,2,0,0,0,1,5,3,0,-1
5,17,69,34,9,15.0,1.0,95,2,2,1,2,2,2,1,1,0
6,20,69,34,9,18.0,1.0,105,3,2,1,2,2,5,3,0,0
7,23,69,34,9,21.0,1.0,95,3,2,1,2,2,0,0,0,0
8,26,71,35,11,24.0,1.0,105,4,4,2,4,3,2,1,1,1
9,31,67,33,7,27.0,1.0,95,4,0,0,0,1,-4,-2,-1,0
10,34,59,28,11,30.0,1.0,105,5,-8,-5,4,3,-3,-2,-1,-1
11,37,67,33,7,33.0,1.0,95,5,0,0,0,1,5,3,1,0
12,40,67,33,7,36.0,1.0,105,6,0,0,0,1,5,3,0,0
13,45,69,34,9,39.0,1.0,95,6,2,1,2,2,2,1,1,1
14,48,67,33,7,42.0,1.0,105,7,0,0,0,1,3,2,-1,0
15,51,67,33,7,45.0,2.0,95,7,0,0,0,1,0,0,0,0
16,53,71,35,11,48.0,1.0,105,8,4,2,4,3,2,1,1,1
17,56,67,33,7,51.0,1.0,95,8,0,0,0,1,-4,-2,-1,0
18,59,59,28,11,54.0,1.0,105,9,-8,-5,4,3,-3,-2,-1,-1
19,62,67,33,7,57.0,1.0,95,9,0,0,0,1,5,3,1,0
20,65,67,33,7,60.0,1.0,105,10,0,0,0,1,5,3,0,0
21,70,69,34,9,63.0,1.0,95,10,2,1,2,2,2,1,1,1
22,73,69,34,9,66.0,1.0,105,11,2,1,2,2,5,3,0,1
23,76,69,34,9,69.0,1.0,95,11,2,1,2,2,0,0,0,1
24,79,71,35,11,72.0,1.0,105,12,4,2,4,3,2,1,1,2
25,84,67,33,7,75.0,1.0,95,12,0,0,0,1,-4,-2,-1,1
26,87,59,28,11,78.0,1.0,105,13,-8,-5,4,3,-3,-2,-1,0
27,90,67,33,7,81.0,1.0,95,13,0,0,0,1,5,3,1,1
28,93,67,33,7,84.0,1.0,105,14,0,0,0,1,5,3,0,1
29,98,69,34,9,87.0,1.0,95,14,2,1,2,2,2,1,1,2
30,101,67,33,7,90.0,1.0,105,15,0,0,0,1,3,2,-1,1
31,104,67,33,7,93.0,2.0,95,15,0,0,0,1,0,0,0,1
32,106,71,35,11,96.0,2.0,105,16,4,2,4,3,2,1,1,2
33,108,71,35,11,99.0,1.0,95,16,4,2,4,3,2,1,0,2
34,111,76,38,4,102.0,1.0,105,17,9,5,9,6,2,1,1,3
35,114,74,37,2,105.0,1.0,95,17,7,4,7,5,-2,-1,-1,2
36,117,67,33,7,108.0,1.0,105,18,0,0,0,1,-2,-1,-1,1
37,122,69,34,9,111.0,1.0,95,18,2,1,2,2,2,1,1,2
38,125,69,34,9,114.0,1.0,105,19,2,1,2,2,5,3,0,2
39,128,69,34,9,117.0,1.0,95,19,2,1,2,2,0,0,0,2
40,131,71,35,11,120.0,2.0,105,20,4,2,4,3,2,1,1,3
41,133,71,35,11,123.0,1.0,95,20,4,2,4,3,2,1,0,3
42,136,76,38,4,126.0,1.0,105,21,9,5,9,6,2,1,1,4
43,139,74,37,2,129.0,1.0,95,21,7,4,7,5,-2,-1,-1,3
44,142,67,33,7,132.0,1.0,105,22,0,0,0,1,-2,-1,-1,2
45,147,69,34,9,135.0,1.0,95,22,2,1,2,2,2,1,1,3
46,150,67,33,7,138.0,1.0,105,23,0,0,0,1,3,2,-1,2
47,153,67,33,7,141.0,2.0,95,23,0,0,0,1,0,0,0,2
48,155,71,35,11,144.0,2.0,105,24,4,2,4,3,2,1,1,3
49,157,71,35,11,147.0,1.0,95,24,4,2,4,3,2,1,0,3
50,160,76,38,4,150.0,1.0,105,25,9,5,9,6,2,1,1,4
51,163,74,37,2,153.0,1.0,95,25,7,4,7,5,-2,-1,-1,3
52,166,67,33,7,156.0,1.0,105,26,0,0,0,1,-2,-1,-1,2
53,171,69,34,9,159.0,1.0,95,26,2,1,2,2,2,1,1,3
54,174,69,34,9,162.0,1.0,105,27,2,1,2,2,5,3,0,3
55,177,69,34,9,165.0,1.0,95,27,2,1,2,2,0,0,0,3
56,180,71,35,11,168.0,2.0,105,28,4,2,4,3,2,1,1,4
57,182,71,35,11,171.0,1.0,95,28,4,2,4,3,2,1,0,4
58,185,76,38,4,174.0,1.0,105,29,9,5,9,6,2,1,1,5
59,188,74,37,2,177.0,1.0,95,29,7,4,7,5,-2,-1,-1,4
60,191,67,33,7,180.0,1.0,105,30,0,0,0,1,-2,-1,-1,3
61,196,69,34,9,183.0,1.0,95,30,2,1,2,2,2,1,1,4
62,199,67,33,7,186.0,1.0,105,31,0,0,0,1,3,2,-1,3
63,202,67,33,7,189.0,2.0,95,31,0,0,0,1,0,0,0,3
