,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,67,33,7,2.0,2.0,105,0,0,0,0,1,0,0,0,0
1,5,62,30,2,6.0,2.0,95,0,-5,-3,7,5,2,1,-1,-1
2,9,69,34,9,10.0,3.0,105,1,2,1,2,2,2,1,1,0
3,11,74,37,2,14.0,2.0,95,1,7,4,7,5,3,2,1,1
4,14,67,33,7,18.0,1.5,105,2,0,0,0,1,-2,-1,-1,0
5,18,67,33,7,22.0,2.0,95,2,0,0,0,1,3,2,0,0
6,20,67,33,7,26.0,6.0,105,3,0,0,0,1,0,0,0,0
7,23,72,36,0,34.0,3.0,105,4,5,3,5,4,1,1,1,1
8,25,76,38,4,38.0,2.0,95,4,9,5,9,6,2,1,1,2
9,28,71,35,11,42.0,2.0,105,5,4,2,4,3,-1,-1,-1,1
10,30,69,34,9,46.0,2.0,95,5,2,1,2,2,2,1,-1,0
11,33,74,37,2,50.0,1.0,105,6,7,4,7,5,2,1,1,1
12,37,66,32,6,54.0,1.0,95,6,-1,-1,11,7,-1,-1,-1,0
13,41,62,30,2,58.0,6.0,105,7,-5,-3,7,5,1,1,-1,-1
14,44,72,36,0,66.0,2.0,105,8,5,3,5,4,1,1,1,0
15,47,76,38,4,70.0,2.0,95,8,9,5,9,6,2,1,1,1
16,50,71,35,11,74.0,3.0,105,9,4,2,4,3,-1,-1,-1,0
17,52,69,34,9,78.0,2.0,95,9,2,1,2,2,2,1,-1,-1
18,55,74,37,2,82.0,1.5,105,10,7,4,7,5,2,1,1,0
19,59,66,32,6,86.0,1.5,95,10,-1,-1,11,7,-1,-1,-1,-1
20,63,62,30,2,90.0,6.0,105,11,-5,-3,7,5,1,1,-1,-2
21,66,67,33,7,98.0,2.0,105,12,0,0,0,1,-2,-1,1,-1
22,69,62,30,2,102.0,2.0,95,12,-5,-3,7,5,2,1,-1,-2
23,72,69,34,9,106.0,3.0,105,13,2,1,2,2,2,1,1,-1
24,74,74,37,2,110.0,2.0,95,13,7,4,7,5,3,2,1,0
25,77,67,33,7,114.0,1.0,105,14,0,0,0,1,-2,-1,-1,-1
26,81,67,33,7,118.0,2.0,95,14,0,0,0,1,3,2,0,-1
27,83,67,33,7,122.0,6.0,105,15,0,0,0,1,0,0,0,-1
28,86,67,33,7,130.0,2.0,105,16,0,0,0,1,-2,-1,0,-1
29,89,62,30,2,134.0,2.0,95,16,-5,-3,7,5,2,1,-1,-2
30,93,69,34,9,138.0,3.0,105,17,2,1,2,2,2,1,1,-1
31,95,74,37,2,142.0,2.0,95,17,7,4,7,5,3,2,1,0
32,98,67,33,7,146.0,1.5,105,18,0,0,0,1,-2,-1,-1,-1
33,102,67,33,7,150.0,2.0,95,18,0,0,0,1,3,2,0,-1
34,104,67,33,7,154.0,6.0,105,19,0,0,0,1,0,0,0,-1
35,107,72,36,0,162.0,3.0,105,20,5,3,5,4,1,1,1,0
36,109,76,38,4,166.0,2.0,95,20,9,5,9,6,2,1,1,1
37,112,71,35,11,170.0,2.0,105,21,4,2,4,3,-1,-1,-1,0
38,114,69,34,9,174.0,2.0,95,21,2,1,2,2,2,1,-1,-1
39,117,74,37,2,178.0,1.0,105,22,7,4,7,5,2,1,1,0
40,121,66,32,6,182.0,1.0,95,22,-1,-1,11,7,-1,-1,-1,-1
41,125,62,30,2,186.0,6.0,105,23,-5,-3,7,5,1,1,-1,-2
42,128,72,36,0,194.0,2.0,105,24,5,3,5,4,1,1,1,-1
43,131,76,38,4,198.0,2.0,95,24,9,5,9,6,2,1,1,0
44,134,71,35,11,202.0,3.0,105,25,4,2,4,3,-1,-1,-1,-1
45,136,69,34,9,206.0,2.0,95,25,2,1,2,2,2,1,-1,-2
46,139,74,37,2,210.0,1.5,105,26,7,4,7,5,2,1,1,-1
47,143,66,32,6,214.0,1.5,95,26,-1,-1,11,7,-1,-1,-1,-2
48,147,62,30,2,218.0,6.0,105,27,-5,-3,7,5,1,1,-1,-3
49,150,67,33,7,226.0,2.0,105,28,0,0,0,1,-2,-1,1,-2
50,153,62,30,2,230.0,2.0,95,28,-5,-3,7,5,2,1,-1,-3
51,156,69,34,9,234.0,3.0,105,29,2,1,2,2,2,1,1,-2
52,158,74,37,2,238.0,2.0,95,29,7,4,7,5,3,2,1,-1
53,161,67,33,7,242.0,1.0,105,30,0,0,0,1,-2,-1,-1,-2
54,165,67,33,7,246.0,2.0,95,30,0,0,0,1,3,2,0,-2
55,167,67,33,7,250.0,6.0,105,31,0,0,0,1,0,0,0,-2
