,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,62,30,2,2.0,1.33,105,0,0,0,0,1,0,0,0,0
1,6,62,30,2,6.0,1.33,95,0,0,0,0,1,-7,-4,0,0
2,10,74,37,2,10.0,1.33,105,1,12,7,0,1,5,3,1,1
3,14,74,37,2,14.0,1.33,95,1,12,7,0,1,-2,-1,0,1
4,18,76,38,4,18.0,1.33,105,2,14,8,2,2,7,4,1,2
5,22,79,40,7,22.0,1.33,95,2,17,10,5,4,10,6,1,3
6,26,76,38,4,26.0,1.33,105,3,14,8,2,2,7,4,-1,2
7,30,69,34,9,30.0,1.33,95,3,7,4,7,5,-2,-1,-1,1
8,34,62,30,2,34.0,1.33,105,4,0,0,0,1,-2,-1,-1,0
9,38,62,30,2,38.0,1.33,95,4,0,0,0,1,-7,-4,0,0
10,42,74,37,2,42.0,1.33,105,5,12,7,0,1,5,3,1,1
11,46,74,37,2,46.0,1.33,95,5,12,7,0,1,-2,-1,0,1
12,50,76,38,4,50.0,1.33,105,6,14,8,2,2,7,4,1,2
13,54,79,40,7,54.0,1.33,95,6,17,10,5,4,10,6,1,3
14,58,74,37,2,58.0,2.0,105,7,12,7,0,1,-2,-1,-1,2
15,60,74,37,2,62.0,2.0,95,7,12,7,0,1,-4,-2,0,2
16,63,62,30,2,66.0,1.33,105,8,0,0,0,1,-4,-2,-1,1
17,67,62,30,2,70.0,1.33,95,8,0,0,0,1,-7,-4,0,1
18,71,74,37,2,74.0,1.33,105,9,12,7,0,1,5,3,1,2
19,75,74,37,2,78.0,1.33,95,9,12,7,0,1,-2,-1,0,2
20,79,76,38,4,82.0,1.33,105,10,14,8,2,2,7,4,1,3
21,83,79,40,7,86.0,1.33,95,10,17,10,5,4,10,6,1,4
22,87,76,38,4,90.0,1.33,105,11,14,8,2,2,7,4,-1,3
23,91,69,34,9,94.0,1.33,95,11,7,4,7,5,-2,-1,-1,2
24,95,62,30,2,98.0,1.33,105,12,0,0,0,1,-2,-1,-1,1
25,99,62,30,2,102.0,1.33,95,12,0,0,0,1,-7,-4,0,1
26,103,74,37,2,106.0,1.33,105,13,12,7,0,1,5,3,1,2
27,107,74,37,2,110.0,1.33,95,13,12,7,0,1,-2,-1,0,2
28,111,76,38,4,114.0,1.33,105,14,14,8,2,2,7,4,1,3
29,115,79,40,7,118.0,1.33,95,14,17,10,5,4,10,6,1,4
30,119,74,37,2,122.0,2.0,105,15,12,7,0,1,-2,-1,-1,3
31,121,74,37,2,126.0,2.0,95,15,12,7,0,1,-4,-2,0,3
32,124,76,38,4,130.0,1.33,105,16,14,8,2,2,2,1,1,4
33,127,78,39,6,134.0,1.33,95,16,16,9,4,3,9,5,1,5
34,130,79,40,7,138.0,1.33,105,17,17,10,5,4,10,6,1,6
35,133,78,39,6,142.0,1.33,95,17,16,9,4,3,9,5,-1,5
36,136,76,38,4,146.0,1.33,105,18,14,8,2,2,7,4,-1,4
37,140,79,40,7,150.0,1.33,95,18,17,10,5,4,10,6,1,5
38,144,76,38,4,154.0,0.67,105,19,14,8,2,2,7,4,-1,4
39,150,69,34,9,158.0,0.67,95,19,7,4,7,5,-2,-1,-1,3
40,156,62,30,2,162.0,1.33,105,20,0,0,0,1,-2,-1,-1,2
41,160,62,30,2,166.0,1.33,95,20,0,0,0,1,-7,-4,0,2
42,164,74,37,2,170.0,1.33,105,21,12,7,0,1,5,3,1,3
43,168,74,37,2,174.0,1.33,95,21,12,7,0,1,-2,-1,0,3
44,172,76,38,4,178.0,1.33,105,22,14,8,2,2,7,4,1,4
45,176,79,40,7,182.0,1.33,95,22,17,10,5,4,10,6,1,5
46,180,74,37,2,186.0,2.0,105,23,12,7,0,1,-2,-1,-1,4
47,182,74,37,2,190.0,2.0,95,23,12,7,0,1,-4,-2,0,4
48,185,76,38,4,194.0,1.33,105,24,14,8,2,2,2,1,1,5
49,188,78,39,6,198.0,1.33,95,24,16,9,4,3,9,5,1,6
50,191,79,40,7,202.0,1.33,105,25,17,10,5,4,10,6,1,7
51,194,78,39,6,206.0,1.33,95,25,16,9,4,3,9,5,-1,6
52,197,76,38,4,210.0,1.33,105,26,14,8,2,2,7,4,-1,5
53,201,79,40,7,214.0,1.33,95,26,17,10,5,4,10,6,1,6
54,205,76,38,4,218.0,0.67,105,27,14,8,2,2,7,4,-1,5
55,211,69,34,9,222.0,0.67,95,27,7,4,7,5,-2,-1,-1,4
56,217,62,30,2,226.0,1.33,105,28,0,0,0,1,-2,-1,-1,3
57,221,62,30,2,230.0,1.33,95,28,0,0,0,1,-7,-4,0,3
58,225,74,37,2,234.0,1.33,105,29,12,7,0,1,5,3,1,4
59,229,74,37,2,238.0,1.33,95,29,12,7,0,1,-2,-1,0,4
60,233,76,38,4,242.0,1.33,105,30,14,8,2,2,7,4,1,5
61,237,79,40,7,246.0,1.33,95,30,17,10,5,4,10,6,1,6
62,241,74,37,2,250.0,2.0,105,31,12,7,0,1,-2,-1,-1,5
63,243,74,37,2,254.0,4.0,95,31,12,7,0,1,-4,-2,0,5
