,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,71,35,11,0.0,0.5,105,0,9,5,9,6,0,0,0,0
1,4,76,38,4,4.0,2.0,95,0,14,8,2,2,-2,-1,1,1
2,7,74,37,2,8.0,1.5,105,1,12,7,0,1,3,2,-1,0
3,11,76,38,4,12.0,1.5,95,1,14,8,2,2,2,1,1,1
4,15,71,35,11,16.0,0.5,105,2,9,5,9,6,2,1,-1,0
5,19,76,38,4,20.0,2.0,95,2,14,8,2,2,-2,-1,1,1
6,22,69,34,9,24.0,1.5,105,3,7,4,7,5,-2,-1,-1,0
7,26,64,31,4,28.0,2.0,95,3,2,1,2,2,-2,-1,-1,-1
8,28,71,35,11,32.0,0.5,105,4,9,5,9,6,7,4,1,0
9,32,76,38,4,36.0,2.0,95,4,14,8,2,2,-2,-1,1,1
10,35,74,37,2,40.0,1.5,105,5,12,7,0,1,3,2,-1,0
11,39,76,38,4,44.0,1.5,95,5,14,8,2,2,2,1,1,1
12,43,71,35,11,48.0,0.5,105,6,9,5,9,6,2,1,-1,0
13,47,76,38,4,52.0,2.0,95,6,14,8,2,2,-2,-1,1,1
14,50,69,34,9,56.0,1.5,105,7,7,4,7,5,-2,-1,-1,0
15,54,64,31,4,60.0,2.0,95,7,2,1,2,2,-2,-1,-1,-1
16,56,64,31,4,64.0,0.5,105,8,2,1,2,2,0,0,0,-1
17,60,62,30,2,68.0,1.5,95,8,0,0,0,1,-2,-1,-1,-2
18,64,69,34,9,72.0,0.5,105,9,7,4,7,5,0,0,1,-1
19,68,71,35,11,76.0,1.5,95,9,9,5,9,6,2,1,1,0
20,72,74,37,2,80.0,1.5,105,10,12,7,0,1,-4,-2,1,1
21,76,71,35,11,84.0,0.5,95,10,9,5,9,6,2,1,-1,0
22,80,74,37,2,88.0,1.5,105,11,12,7,0,1,-4,-2,1,1
23,84,64,31,4,92.0,2.0,95,11,2,1,2,2,-2,-1,-1,0
24,86,64,31,4,96.0,0.5,105,12,2,1,2,2,0,0,0,0
25,90,62,30,2,100.0,1.5,95,12,0,0,0,1,-2,-1,-1,-1
26,94,69,34,9,104.0,0.5,105,13,7,4,7,5,0,0,1,0
27,98,71,35,11,108.0,1.5,95,13,9,5,9,6,2,1,1,1
28,102,74,37,2,112.0,1.5,105,14,12,7,0,1,-4,-2,1,2
29,106,71,35,11,116.0,0.5,95,14,9,5,9,6,2,1,-1,1
30,110,74,37,2,120.0,1.5,105,15,12,7,0,1,-4,-2,1,2
31,114,64,31,4,124.0,4.0,95,15,2,1,2,2,-2,-1,-1,1
