,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,64,31,4,0.0,0.67,105,0,0,0,0,1,0,0,0,0
1,4,71,35,11,2.0,0.5,105,1,7,4,7,5,2,1,1,1
2,8,69,34,9,4.0,0.5,105,2,5,3,5,4,-2,-1,-1,0
3,12,64,31,4,6.0,0.5,105,3,0,0,0,1,-2,-1,-1,-1
4,16,64,31,4,8.0,0.67,105,4,0,0,0,1,2,1,0,-1
5,20,71,35,11,10.0,0.5,105,5,7,4,7,5,2,1,1,0
6,24,69,34,9,12.0,0.5,105,6,5,3,5,4,-2,-1,-1,-1
7,28,64,31,4,14.0,1.0,105,7,0,0,0,1,-2,-1,-1,-2
8,35,71,35,11,18.0,0.5,105,8,7,4,7,5,2,1,1,-1
9,39,69,34,9,20.0,0.5,105,9,5,3,5,4,-2,-1,-1,-2
10,43,64,31,4,22.0,0.5,105,10,0,0,0,1,-2,-1,-1,-3
11,47,64,31,4,24.0,0.67,105,11,0,0,0,1,2,1,0,-3
12,51,71,35,11,26.0,0.5,105,12,7,4,7,5,2,1,1,-2
13,55,69,34,9,28.0,0.5,105,13,5,3,5,4,-2,-1,-1,-3
14,59,64,31,4,30.0,1.0,105,14,0,0,0,1,-2,-1,-1,-4
15,65,76,38,4,34.0,0.5,105,15,12,7,0,1,5,3,1,-3
16,69,69,34,9,36.0,0.5,105,16,5,3,5,4,-2,-1,-1,-4
17,73,64,31,4,38.0,0.5,105,17,0,0,0,1,-2,-1,-1,-5
18,77,76,38,4,40.0,0.5,105,18,12,7,0,1,14,8,1,-4
19,81,76,38,4,42.0,0.5,105,19,12,7,0,1,5,3,0,-4
20,85,69,34,9,44.0,0.5,105,20,5,3,5,4,-2,-1,-1,-5
21,89,64,31,4,46.0,1.0,105,21,0,0,0,1,-2,-1,-1,-6
22,91,76,38,4,48.0,0.5,105,22,12,7,0,1,12,7,1,-5
23,95,76,38,4,50.0,0.5,105,23,12,7,0,1,5,3,0,-5
24,99,69,34,9,52.0,0.5,105,24,5,3,5,4,-2,-1,-1,-6
25,103,64,31,4,54.0,0.5,105,25,0,0,0,1,-2,-1,-1,-7
26,107,64,31,4,56.0,0.67,105,26,0,0,0,1,2,1,0,-7
27,111,71,35,11,58.0,0.5,105,27,7,4,7,5,2,1,1,-6
28,115,69,34,9,60.0,0.5,105,28,5,3,5,4,-2,-1,-1,-7
29,119,64,31,4,62.0,1.0,105,29,0,0,0,1,-2,-1,-1,-8
