,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,71,35,11,0.0,1.0,105,0,0,0,0,1,0,0,0,0
1,4,74,37,2,4.0,3.0,95,0,3,2,3,3,3,2,1,1
2,6,76,38,4,8.0,2.0,105,1,5,3,5,4,-2,-1,1,2
3,9,73,36,1,12.0,1.0,95,1,2,1,2,2,-1,-1,-1,1
4,13,71,35,11,16.0,1.0,105,2,0,0,0,1,-2,-1,-1,0
5,17,74,37,2,20.0,3.0,95,2,3,2,3,3,3,2,1,1
6,19,76,38,4,24.0,1.0,105,3,5,3,5,4,-2,-1,1,2
7,23,71,35,11,28.0,2.0,95,3,0,0,0,1,-3,-2,-1,1
8,26,71,35,11,32.0,1.0,105,4,0,0,0,1,2,1,0,1
9,30,74,37,2,36.0,3.0,95,4,3,2,3,3,3,2,1,2
10,32,76,38,4,40.0,2.0,105,5,5,3,5,4,-2,-1,1,3
11,35,73,36,1,44.0,1.0,95,5,2,1,2,2,-1,-1,-1,2
12,39,71,35,11,48.0,1.0,105,6,0,0,0,1,-2,-1,-1,1
13,43,74,37,2,52.0,3.0,95,6,3,2,3,3,3,2,1,2
14,45,76,38,4,56.0,1.0,105,7,5,3,5,4,-2,-1,1,3
15,49,71,35,11,60.0,2.0,95,7,0,0,0,1,-3,-2,-1,2
16,52,71,35,11,64.0,1.0,105,8,0,0,0,1,2,1,0,2
17,56,79,40,7,68.0,3.0,95,8,8,5,8,6,8,5,1,3
18,58,78,39,6,72.0,1.0,105,9,7,4,7,5,2,1,-1,2
19,64,78,39,6,76.0,1.0,95,9,7,4,7,5,-3,-2,0,2
20,68,71,35,11,80.0,1.0,105,10,0,0,0,1,-3,-2,-1,1
21,72,79,40,7,84.0,3.0,95,10,8,5,8,6,8,5,1,2
22,74,78,39,6,88.0,1.0,105,11,7,4,7,5,2,1,-1,1
23,78,76,38,4,92.0,1.0,95,11,5,3,5,4,-2,-1,-1,0
24,84,71,35,11,96.0,1.0,105,12,0,0,0,1,-3,-2,-1,-1
25,88,79,40,7,100.0,3.0,95,12,8,5,8,6,8,5,1,0
26,90,78,39,6,104.0,1.0,105,13,7,4,7,5,2,1,-1,-1
27,96,78,39,6,108.0,1.0,95,13,7,4,7,5,-3,-2,0,-1
28,100,71,35,11,112.0,1.0,105,14,0,0,0,1,-3,-2,-1,-2
29,104,79,40,7,116.0,3.0,95,14,8,5,8,6,8,5,1,-1
30,106,78,39,6,120.0,1.0,105,15,7,4,7,5,2,1,-1,-2
31,110,76,38,4,124.0,1.0,95,15,5,3,5,4,-2,-1,-1,-3
32,116,73,36,1,128.0,1.0,105,16,2,1,2,2,-1,-1,-1,-4
33,120,74,37,2,132.0,1.0,95,16,3,2,3,3,1,1,1,-3
34,124,71,35,11,136.0,1.0,105,17,0,0,0,1,-3,-2,-1,-4
35,128,73,36,1,140.0,1.0,95,17,2,1,2,2,2,1,1,-3
36,132,69,34,9,144.0,1.0,105,18,-2,-1,10,7,-2,-1,-1,-4
37,136,73,36,1,148.0,1.0,95,18,2,1,2,2,4,2,1,-3
38,140,76,38,4,152.0,1.0,105,19,5,3,5,4,3,2,1,-2
39,144,71,35,11,156.0,1.0,95,19,0,0,0,1,-3,-2,-1,-3
40,150,73,36,1,160.0,1.0,105,20,2,1,2,2,4,2,1,-2
41,154,74,37,2,164.0,1.0,95,20,3,2,3,3,1,1,1,-1
42,158,71,35,11,168.0,1.0,105,21,0,0,0,1,-3,-2,-1,-2
43,162,73,36,1,172.0,1.0,95,21,2,1,2,2,2,1,1,-1
44,166,69,34,9,176.0,1.0,105,22,-2,-1,10,7,-2,-1,-1,-2
45,170,73,36,1,180.0,1.0,95,22,2,1,2,2,4,2,1,-1
46,174,76,38,4,184.0,1.0,105,23,5,3,5,4,3,2,1,0
47,178,71,35,11,188.0,1.0,95,23,0,0,0,1,-3,-2,-1,-1
