,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,64,31,4,0.0,2.0,105,0,0,0,0,1,0,0,0,0
1,2,67,33,7,3.0,2.0,95,0,3,2,3,3,1,1,1,1
2,4,71,35,11,6.0,2.0,105,1,7,4,7,5,2,1,1,2
3,6,71,35,11,9.0,1.0,95,1,7,4,7,5,1,0,0,2
4,9,62,30,2,12.0,2.0,105,2,-2,-1,10,7,-12,-7,-1,1
5,11,66,32,6,15.0,2.0,95,2,2,1,2,2,2,1,1,2
6,13,69,34,9,18.0,1.0,105,3,5,3,5,4,2,1,1,3
7,16,69,34,9,21.0,1.0,95,3,5,3,5,4,-2,-1,0,3
8,19,64,31,4,24.0,2.0,105,4,0,0,0,1,2,1,-1,2
9,21,67,33,7,27.0,2.0,95,4,3,2,3,3,1,1,1,3
10,23,71,35,11,30.0,2.0,105,5,7,4,7,5,2,1,1,4
11,25,71,35,11,33.0,1.0,95,5,7,4,7,5,1,0,0,4
12,28,76,38,4,36.0,1.0,105,6,12,7,0,1,2,1,1,5
13,31,72,36,0,39.0,1.0,95,6,8,5,8,6,1,1,-1,4
14,34,71,35,11,42.0,1.0,105,7,7,4,7,5,2,1,-1,3
15,37,64,31,4,45.0,2.0,95,7,0,0,0,1,0,0,-1,2
16,39,64,31,4,48.0,2.0,105,8,0,0,0,1,-2,-1,0,2
17,41,67,33,7,51.0,2.0,95,8,3,2,3,3,1,1,1,3
18,43,71,35,11,54.0,2.0,105,9,7,4,7,5,2,1,1,4
19,45,71,35,11,57.0,1.0,95,9,7,4,7,5,1,0,0,4
20,48,62,30,2,60.0,2.0,105,10,-2,-1,10,7,-12,-7,-1,3
21,50,66,32,6,63.0,2.0,95,10,2,1,2,2,2,1,1,4
22,52,69,34,9,66.0,1.0,105,11,5,3,5,4,2,1,1,5
23,55,69,34,9,69.0,1.0,95,11,5,3,5,4,-2,-1,0,5
24,58,64,31,4,72.0,2.0,105,12,0,0,0,1,2,1,-1,4
25,60,67,33,7,75.0,2.0,95,12,3,2,3,3,1,1,1,5
26,62,71,35,11,78.0,2.0,105,13,7,4,7,5,2,1,1,6
27,64,71,35,11,81.0,1.0,95,13,7,4,7,5,1,0,0,6
28,67,76,38,4,84.0,1.0,105,14,12,7,0,1,2,1,1,7
29,70,72,36,0,87.0,1.0,95,14,8,5,8,6,1,1,-1,6
30,73,71,35,11,90.0,1.0,105,15,7,4,7,5,2,1,-1,5
31,76,64,31,4,93.0,2.0,95,15,0,0,0,1,0,0,-1,4
32,78,76,38,4,96.0,2.0,105,16,12,7,0,1,5,3,1,5
33,80,79,40,7,99.0,2.0,95,16,15,9,3,3,1,1,1,6
34,82,78,39,6,102.0,1.0,105,17,14,8,2,2,2,1,-1,5
35,85,78,39,6,105.0,1.0,95,17,14,8,2,2,-1,-1,0,5
36,88,76,38,4,108.0,2.0,105,18,12,7,0,1,1,0,-1,4
37,90,79,40,7,111.0,2.0,95,18,15,9,3,3,1,1,1,5
38,92,78,39,6,114.0,1.0,105,19,14,8,2,2,2,1,-1,4
39,95,71,35,11,117.0,2.0,95,19,7,4,7,5,0,0,-1,3
40,97,76,38,4,120.0,2.0,105,20,12,7,0,1,5,3,1,4
41,99,79,40,7,123.0,2.0,95,20,15,9,3,3,1,1,1,5
42,101,78,39,6,126.0,1.0,105,21,14,8,2,2,2,1,-1,4
43,104,78,39,6,129.0,1.0,95,21,14,8,2,2,-1,-1,0,4
44,107,76,38,4,132.0,1.0,105,22,12,7,0,1,1,0,-1,3
45,110,72,36,0,135.0,1.0,95,22,8,5,8,6,1,1,-1,2
46,113,71,35,11,138.0,1.0,105,23,7,4,7,5,2,1,-1,1
47,116,64,31,4,141.0,2.0,95,23,0,0,0,1,0,0,-1,0
48,118,76,38,4,144.0,2.0,105,24,12,7,0,1,5,3,1,1
49,120,79,40,7,147.0,2.0,95,24,15,9,3,3,1,1,1,2
50,122,78,39,6,150.0,1.0,105,25,14,8,2,2,2,1,-1,1
51,125,78,39,6,153.0,1.0,95,25,14,8,2,2,-1,-1,0,1
52,128,76,38,4,156.0,2.0,105,26,12,7,0,1,1,0,-1,0
53,130,79,40,7,159.0,2.0,95,26,15,9,3,3,1,1,1,1
54,132,78,39,6,162.0,1.0,105,27,14,8,2,2,2,1,-1,0
55,135,71,35,11,165.0,2.0,95,27,7,4,7,5,0,0,-1,-1
56,137,76,38,4,168.0,2.0,105,28,12,7,0,1,5,3,1,0
57,139,79,40,7,171.0,2.0,95,28,15,9,3,3,1,1,1,1
58,141,78,39,6,174.0,1.0,105,29,14,8,2,2,2,1,-1,0
59,144,78,39,6,177.0,1.0,95,29,14,8,2,2,-1,-1,0,0
60,147,76,38,4,180.0,1.0,105,30,12,7,0,1,1,0,-1,-1
61,150,72,36,0,183.0,1.0,95,30,8,5,8,6,1,1,-1,-2
62,153,71,35,11,186.0,1.0,105,31,7,4,7,5,2,1,-1,-3
63,156,64,31,4,189.0,2.0,95,31,0,0,0,1,0,0,-1,-4
