,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,76,38,4,0.0,1.0,105,0,14,8,2,2,0,0,0,0
1,3,74,37,2,3.0,1.0,95,0,12,7,0,1,3,2,-1,-1
2,6,76,38,4,6.0,1.0,105,1,14,8,2,2,5,3,1,0
3,9,67,33,7,9.0,1.0,95,1,5,3,5,4,-2,-1,-1,-1
4,12,76,38,4,12.0,1.0,105,2,14,8,2,2,12,7,1,0
5,15,74,37,2,15.0,1.0,95,2,12,7,0,1,3,2,-1,-1
6,18,76,38,4,18.0,2.0,105,3,14,8,2,2,5,3,1,0
7,20,79,40,7,21.0,2.0,95,3,17,10,5,4,1,1,1,1
8,22,76,38,4,24.0,1.0,105,4,14,8,2,2,-2,-1,-1,0
9,25,74,37,2,27.0,1.0,95,4,12,7,0,1,3,2,-1,-1
10,28,76,38,4,30.0,1.0,105,5,14,8,2,2,5,3,1,0
11,31,67,33,7,33.0,1.0,95,5,5,3,5,4,-2,-1,-1,-1
12,34,76,38,4,36.0,1.0,105,6,14,8,2,2,12,7,1,0
13,37,74,37,2,39.0,1.0,95,6,12,7,0,1,3,2,-1,-1
14,40,69,34,9,42.0,1.0,105,7,7,4,7,5,-2,-1,-1,-2
15,43,74,37,2,45.0,2.0,95,7,12,7,0,1,1,1,1,-1
16,45,76,38,4,48.0,1.0,105,8,14,8,2,2,5,3,1,0
17,48,74,37,2,51.0,1.0,95,8,12,7,0,1,3,2,-1,-1
18,51,76,38,4,54.0,1.0,105,9,14,8,2,2,5,3,1,0
19,54,67,33,7,57.0,1.0,95,9,5,3,5,4,-2,-1,-1,-1
20,57,76,38,4,60.0,1.0,105,10,14,8,2,2,12,7,1,0
21,60,74,37,2,63.0,1.0,95,10,12,7,0,1,3,2,-1,-1
22,63,76,38,4,66.0,2.0,105,11,14,8,2,2,5,3,1,0
23,65,79,40,7,69.0,2.0,95,11,17,10,5,4,1,1,1,1
24,67,76,38,4,72.0,1.0,105,12,14,8,2,2,-2,-1,-1,0
25,70,74,37,2,75.0,1.0,95,12,12,7,0,1,3,2,-1,-1
26,73,76,38,4,78.0,1.0,105,13,14,8,2,2,5,3,1,0
27,76,67,33,7,81.0,1.0,95,13,5,3,5,4,-2,-1,-1,-1
28,79,76,38,4,84.0,1.0,105,14,14,8,2,2,12,7,1,0
29,82,74,37,2,87.0,1.0,95,14,12,7,0,1,3,2,-1,-1
30,85,69,34,9,90.0,1.0,105,15,7,4,7,5,-2,-1,-1,-2
31,88,74,37,2,93.0,2.0,95,15,12,7,0,1,1,1,1,-1
32,90,64,31,4,96.0,1.0,105,16,2,1,2,2,-7,-4,-1,-2
33,93,64,31,4,99.0,1.0,95,16,2,1,2,2,-3,-2,0,-2
34,96,69,34,9,102.0,1.0,105,17,7,4,7,5,2,1,1,-1
35,99,74,37,2,105.0,2.0,95,17,12,7,0,1,1,1,1,0
36,101,64,31,4,108.0,1.0,105,18,2,1,2,2,-7,-4,-1,-1
37,104,64,31,4,111.0,1.0,95,18,2,1,2,2,-3,-2,0,-1
38,107,69,34,9,114.0,1.0,105,19,7,4,7,5,2,1,1,0
39,112,66,32,6,117.0,1.0,95,19,4,2,4,3,-3,-2,-1,-1
40,115,64,31,4,120.0,1.0,105,20,2,1,2,2,2,1,-1,-2
41,118,64,31,4,123.0,1.0,95,20,2,1,2,2,-3,-2,0,-2
42,121,69,34,9,126.0,1.0,105,21,7,4,7,5,2,1,1,-1
43,124,74,37,2,129.0,2.0,95,21,12,7,0,1,1,1,1,0
44,126,76,38,4,132.0,2.0,105,22,14,8,2,2,5,3,1,1
45,128,69,34,9,135.0,1.0,95,22,7,4,7,5,-2,-1,-1,0
46,131,74,37,2,138.0,2.0,105,23,12,7,0,1,1,1,1,1
47,133,66,32,6,141.0,1.0,95,23,4,2,4,3,-3,-2,-1,0
48,136,64,31,4,144.0,1.0,105,24,2,1,2,2,2,1,-1,-1
49,139,64,31,4,147.0,1.0,95,24,2,1,2,2,-3,-2,0,-1
50,142,69,34,9,150.0,1.0,105,25,7,4,7,5,2,1,1,0
51,145,74,37,2,153.0,2.0,95,25,12,7,0,1,1,1,1,1
52,147,64,31,4,156.0,1.0,105,26,2,1,2,2,-7,-4,-1,0
53,150,64,31,4,159.0,1.0,95,26,2,1,2,2,-3,-2,0,0
54,153,69,34,9,162.0,1.0,105,27,7,4,7,5,2,1,1,1
55,158,66,32,6,165.0,1.0,95,27,4,2,4,3,-3,-2,-1,0
56,161,64,31,4,168.0,1.0,105,28,2,1,2,2,2,1,-1,-1
57,164,64,31,4,171.0,1.0,95,28,2,1,2,2,-3,-2,0,-1
58,167,69,34,9,174.0,1.0,105,29,7,4,7,5,2,1,1,0
59,170,74,37,2,177.0,2.0,95,29,12,7,0,1,1,1,1,1
60,172,76,38,4,180.0,2.0,105,30,14,8,2,2,5,3,1,2
61,174,69,34,9,183.0,1.0,95,30,7,4,7,5,-2,-1,-1,1
62,177,74,37,2,186.0,2.0,105,31,12,7,0,1,1,1,1,2
63,179,71,35,11,189.0,1.0,95,31,9,5,9,6,2,1,-1,1
