,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,71,35,11,0.0,3.0,105,0,4,2,4,3,0,0,0,0
1,2,71,35,11,4.0,1.5,95,0,4,2,4,3,0,0,0,0
2,6,71,35,11,8.0,1.5,105,1,4,2,4,3,2,1,0,0
3,10,74,37,2,12.0,1.5,95,1,7,4,7,5,2,1,1,1
4,14,71,35,11,16.0,3.0,105,2,4,2,4,3,-3,-2,-1,0
5,16,71,35,11,20.0,1.5,95,2,4,2,4,3,0,0,0,0
6,20,74,37,2,24.0,2.0,105,3,7,4,7,5,5,3,1,1
7,23,69,34,9,28.0,1.5,95,3,2,1,2,2,0,0,-1,0
8,26,71,35,11,32.0,3.0,105,4,4,2,4,3,4,2,1,1
9,28,71,35,11,36.0,1.5,95,4,4,2,4,3,0,0,0,1
10,32,71,35,11,40.0,1.5,105,5,4,2,4,3,2,1,0,1
11,36,74,37,2,44.0,1.5,95,5,7,4,7,5,2,1,1,2
12,40,71,35,11,48.0,3.0,105,6,4,2,4,3,-3,-2,-1,1
13,42,71,35,11,52.0,1.5,95,6,4,2,4,3,0,0,0,1
14,46,74,37,2,56.0,2.0,105,7,7,4,7,5,5,3,1,2
15,49,69,34,9,60.0,1.5,95,7,2,1,2,2,0,0,-1,1
16,52,76,38,4,64.0,2.0,105,8,9,5,9,6,9,5,1,2
17,54,79,40,7,68.0,2.0,95,8,12,7,0,1,-2,-1,1,3
18,57,74,37,2,72.0,2.0,105,9,7,4,7,5,-2,-1,-1,2
19,60,74,37,2,76.0,3.0,95,9,7,4,7,5,2,1,0,2
20,62,76,38,4,80.0,2.0,105,10,9,5,9,6,2,1,1,3
21,64,79,40,7,84.0,2.0,95,10,12,7,0,1,-2,-1,1,4
22,67,74,37,2,88.0,2.0,105,11,7,4,7,5,-2,-1,-1,3
23,70,69,34,9,92.0,1.5,95,11,2,1,2,2,0,0,-1,2
24,73,76,38,4,96.0,2.0,105,12,9,5,9,6,9,5,1,3
25,75,79,40,7,100.0,2.0,95,12,12,7,0,1,-2,-1,1,4
26,78,74,37,2,104.0,2.0,105,13,7,4,7,5,-2,-1,-1,3
27,80,78,39,6,108.0,2.0,95,13,11,6,11,7,2,1,1,4
28,82,81,41,9,112.0,1.5,105,14,14,8,2,2,2,1,1,5
29,86,79,40,7,116.0,2.0,95,14,12,7,0,1,1,1,-1,4
30,89,74,37,2,120.0,2.0,105,15,7,4,7,5,-2,-1,-1,3
31,92,69,34,9,124.0,1.5,95,15,2,1,2,2,0,0,-1,2
