,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,62,30,2,0.0,1.0,105,0,0,0,0,1,0,0,0,0
1,4,66,32,6,4.0,1.0,95,0,4,2,4,3,-3,-2,1,1
2,8,65,32,5,8.0,1.0,105,1,3,2,3,3,1,1,-1,0
3,12,64,31,4,12.0,1.0,95,1,2,1,2,2,-1,-1,-1,-1
4,16,60,29,0,16.0,1.0,105,2,-2,-1,10,7,-2,-1,-1,-2
5,20,72,36,0,20.0,1.0,95,2,10,6,10,7,5,3,1,-1
6,24,79,40,7,24.0,1.0,105,3,17,10,5,4,7,4,1,0
7,28,76,38,4,28.0,1.0,95,3,14,8,2,2,-2,-1,-1,-1
8,32,62,30,2,32.0,1.0,105,4,0,0,0,1,-7,-4,-1,-2
9,36,66,32,6,36.0,1.0,95,4,4,2,4,3,-3,-2,1,-1
10,40,65,32,5,40.0,1.0,105,5,3,2,3,3,1,1,-1,-2
11,44,64,31,4,44.0,1.0,95,5,2,1,2,2,-1,-1,-1,-3
12,48,60,29,0,48.0,1.0,105,6,-2,-1,10,7,-2,-1,-1,-4
13,52,72,36,0,52.0,1.0,95,6,10,6,10,7,5,3,1,-3
14,56,64,31,4,56.0,1.0,105,7,2,1,2,2,-3,-2,-1,-4
15,60,62,30,2,60.0,1.0,95,7,0,0,0,1,-2,-1,-1,-5
16,66,62,30,2,64.0,1.0,105,8,0,0,0,1,-2,-1,0,-5
17,70,66,32,6,68.0,1.0,95,8,4,2,4,3,-3,-2,1,-4
18,74,65,32,5,72.0,1.0,105,9,3,2,3,3,1,1,-1,-5
19,78,64,31,4,76.0,1.0,95,9,2,1,2,2,-1,-1,-1,-6
20,82,60,29,0,80.0,1.0,105,10,-2,-1,10,7,-2,-1,-1,-7
21,86,72,36,0,84.0,1.0,95,10,10,6,10,7,5,3,1,-6
22,90,79,40,7,88.0,1.0,105,11,17,10,5,4,7,4,1,-5
23,94,76,38,4,92.0,1.0,95,11,14,8,2,2,-2,-1,-1,-6
24,98,62,30,2,96.0,1.0,105,12,0,0,0,1,-7,-4,-1,-7
25,102,66,32,6,100.0,1.0,95,12,4,2,4,3,-3,-2,1,-6
26,106,65,32,5,104.0,1.0,105,13,3,2,3,3,1,1,-1,-7
27,110,64,31,4,108.0,1.0,95,13,2,1,2,2,-1,-1,-1,-8
28,114,60,29,0,112.0,1.0,105,14,-2,-1,10,7,-2,-1,-1,-9
29,118,72,36,0,116.0,1.0,95,14,10,6,10,7,5,3,1,-8
30,122,64,31,4,120.0,1.0,105,15,2,1,2,2,-3,-2,-1,-9
31,126,62,30,2,124.0,1.0,95,15,0,0,0,1,-2,-1,-1,-10
32,132,62,30,2,128.0,1.0,105,16,0,0,0,1,-2,-1,0,-10
33,136,74,37,2,132.0,1.0,95,16,12,7,0,1,1,1,1,-9
34,142,74,37,2,136.0,1.0,105,17,12,7,0,1,1,1,0,-9
35,146,71,35,11,140.0,1.0,95,17,9,5,9,6,-2,-1,-1,-10
36,150,67,33,7,144.0,1.0,105,18,5,3,5,4,-2,-1,-1,-11
37,156,66,32,6,148.0,1.0,95,18,4,2,4,3,2,1,-1,-12
38,160,62,30,2,152.0,1.0,105,19,0,0,0,1,-2,-1,-1,-13
39,164,62,30,2,156.0,1.0,95,19,0,0,0,1,-2,-1,0,-13
40,168,62,30,2,160.0,1.0,105,20,0,0,0,1,3,2,0,-13
41,172,74,37,2,164.0,1.0,95,20,12,7,0,1,1,1,1,-12
42,178,79,40,7,168.0,1.0,105,21,17,10,5,4,1,1,1,-11
43,182,73,36,1,172.0,1.0,95,21,11,6,11,7,-1,-1,-1,-12
44,186,71,35,11,176.0,1.0,105,22,9,5,9,6,-3,-2,-1,-13
45,192,66,32,6,180.0,1.0,95,22,4,2,4,3,-3,-2,-1,-14
46,198,66,32,6,184.0,1.0,105,23,4,2,4,3,-3,-2,0,-14
47,202,62,30,2,188.0,1.0,95,23,0,0,0,1,-4,-2,-1,-15
48,208,62,30,2,192.0,1.0,105,24,0,0,0,1,-2,-1,0,-15
49,212,74,37,2,196.0,1.0,95,24,12,7,0,1,1,1,1,-14
50,218,74,37,2,200.0,1.0,105,25,12,7,0,1,1,1,0,-14
51,222,71,35,11,204.0,1.0,95,25,9,5,9,6,-2,-1,-1,-15
