,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,64,31,4,0.0,1.0,105,0,0,0,0,1,0,0,0,0
1,3,71,35,11,3.0,1.0,95,0,7,4,7,5,0,0,1,1
2,6,66,32,6,6.0,1.0,105,1,2,1,2,2,-1,-1,-1,0
3,9,69,34,9,9.0,1.0,95,1,5,3,5,4,3,2,1,1
4,12,64,31,4,12.0,1.0,105,2,0,0,0,1,-2,-1,-1,0
5,15,71,35,11,15.0,1.0,95,2,7,4,7,5,0,0,1,1
6,18,69,34,9,18.0,1.0,105,3,5,3,5,4,-5,-3,-1,0
7,21,64,31,4,21.0,1.0,95,3,0,0,0,1,-2,-1,-1,-1
8,24,64,31,4,24.0,1.0,105,4,0,0,0,1,2,1,0,-1
9,27,71,35,11,27.0,1.0,95,4,7,4,7,5,0,0,1,0
10,30,66,32,6,30.0,1.0,105,5,2,1,2,2,-1,-1,-1,-1
11,33,69,34,9,33.0,1.0,95,5,5,3,5,4,3,2,1,0
12,36,64,31,4,36.0,1.0,105,6,0,0,0,1,-2,-1,-1,-1
13,39,71,35,11,39.0,1.0,95,6,7,4,7,5,0,0,1,0
14,42,69,34,9,42.0,1.0,105,7,5,3,5,4,-5,-3,-1,-1
15,45,64,31,4,45.0,2.0,95,7,0,0,0,1,-2,-1,-1,-2
16,47,64,31,4,48.0,1.0,105,8,0,0,0,1,2,1,0,-2
17,50,71,35,11,51.0,1.0,95,8,7,4,7,5,0,0,1,-1
18,53,66,32,6,54.0,1.0,105,9,2,1,2,2,-1,-1,-1,-2
19,56,69,34,9,57.0,1.0,95,9,5,3,5,4,3,2,1,-1
20,59,64,31,4,60.0,1.0,105,10,0,0,0,1,-2,-1,-1,-2
21,62,71,35,11,63.0,1.0,95,10,7,4,7,5,0,0,1,-1
22,65,69,34,9,66.0,1.0,105,11,5,3,5,4,-5,-3,-1,-2
23,68,64,31,4,69.0,1.0,95,11,0,0,0,1,-2,-1,-1,-3
24,71,64,31,4,72.0,1.0,105,12,0,0,0,1,2,1,0,-3
25,74,71,35,11,75.0,1.0,95,12,7,4,7,5,0,0,1,-2
26,77,66,32,6,78.0,1.0,105,13,2,1,2,2,-1,-1,-1,-3
27,80,69,34,9,81.0,1.0,95,13,5,3,5,4,3,2,1,-2
28,83,64,31,4,84.0,1.0,105,14,0,0,0,1,-2,-1,-1,-3
29,86,71,35,11,87.0,1.0,95,14,7,4,7,5,0,0,1,-2
30,89,69,34,9,90.0,1.0,105,15,5,3,5,4,-5,-3,-1,-3
31,92,64,31,4,93.0,2.0,95,15,0,0,0,1,-2,-1,-1,-4
32,94,71,35,11,96.0,1.0,105,16,7,4,7,5,9,5,1,-3
33,97,76,38,4,99.0,1.0,95,16,12,7,0,1,0,0,1,-2
34,100,78,39,6,102.0,1.0,105,17,14,8,2,2,-1,-1,1,-1
35,103,69,34,9,105.0,1.0,95,17,5,3,5,4,-2,-1,-1,-2
36,106,71,35,11,108.0,1.0,105,18,7,4,7,5,9,5,1,-1
37,109,76,38,4,111.0,1.0,95,18,12,7,0,1,0,0,1,0
38,112,78,39,6,114.0,1.0,105,19,14,8,2,2,-1,-1,1,1
39,115,76,38,4,117.0,2.0,95,19,12,7,0,1,-2,-1,-1,0
40,117,71,35,11,120.0,1.0,105,20,7,4,7,5,2,1,-1,-1
41,120,76,38,4,123.0,1.0,95,20,12,7,0,1,0,0,1,0
42,123,78,39,6,126.0,1.0,105,21,14,8,2,2,-1,-1,1,1
43,126,69,34,9,129.0,1.0,95,21,5,3,5,4,-2,-1,-1,0
44,129,64,31,4,132.0,1.0,105,22,0,0,0,1,2,1,-1,-1
45,132,71,35,11,135.0,1.0,95,22,7,4,7,5,0,0,1,0
46,135,69,34,9,138.0,1.0,105,23,5,3,5,4,-5,-3,-1,-1
47,138,64,31,4,141.0,2.0,95,23,0,0,0,1,-2,-1,-1,-2
48,140,71,35,11,144.0,1.0,105,24,7,4,7,5,7,4,1,-1
49,143,76,38,4,147.0,1.0,95,24,12,7,0,1,0,0,1,0
50,146,78,39,6,150.0,1.0,105,25,14,8,2,2,-1,-1,1,1
51,149,69,34,9,153.0,1.0,95,25,5,3,5,4,-2,-1,-1,0
52,152,71,35,11,156.0,1.0,105,26,7,4,7,5,9,5,1,1
53,155,76,38,4,159.0,1.0,95,26,12,7,0,1,0,0,1,2
54,158,78,39,6,162.0,1.0,105,27,14,8,2,2,-1,-1,1,3
55,161,76,38,4,165.0,2.0,95,27,12,7,0,1,-2,-1,-1,2
56,163,71,35,11,168.0,1.0,105,28,7,4,7,5,2,1,-1,1
57,166,76,38,4,171.0,1.0,95,28,12,7,0,1,0,0,1,2
58,169,78,39,6,174.0,1.0,105,29,14,8,2,2,-1,-1,1,3
59,172,69,34,9,177.0,1.0,95,29,5,3,5,4,-2,-1,-1,2
60,175,64,31,4,180.0,1.0,105,30,0,0,0,1,2,1,-1,1
61,178,71,35,11,183.0,1.0,95,30,7,4,7,5,0,0,1,2
62,181,69,34,9,186.0,1.0,105,31,5,3,5,4,-5,-3,-1,1
63,184,64,31,4,189.0,2.0,95,31,0,0,0,1,-2,-1,-1,0
