,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,74,37,2,0.5,0.5,105,0,7,4,7,5,0,0,0,0
1,6,67,33,7,2.5,0.5,105,1,0,0,0,1,-2,-1,-1,-1
2,11,71,35,11,4.5,0.5,105,2,4,2,4,3,2,1,1,0
3,16,76,38,4,6.5,0.5,105,3,9,5,9,6,2,1,1,1
4,20,74,37,2,8.5,0.5,105,4,7,4,7,5,2,1,-1,0
5,24,67,33,7,10.5,0.5,105,5,0,0,0,1,-2,-1,-1,-1
6,29,71,35,11,12.5,0.5,105,6,4,2,4,3,2,1,1,0
7,35,67,33,7,14.5,1.5,105,7,0,0,0,1,-2,-1,-1,-1
8,38,74,37,2,16.5,0.5,105,8,7,4,7,5,2,1,1,0
9,42,67,33,7,18.5,0.5,105,9,0,0,0,1,-2,-1,-1,-1
10,47,71,35,11,20.5,0.5,105,10,4,2,4,3,2,1,1,0
11,52,76,38,4,22.5,0.5,105,11,9,5,9,6,2,1,1,1
12,56,74,37,2,24.5,0.5,105,12,7,4,7,5,2,1,-1,0
13,60,67,33,7,26.5,0.5,105,13,0,0,0,1,-2,-1,-1,-1
14,65,71,35,11,28.5,0.5,105,14,4,2,4,3,2,1,1,0
15,71,67,33,7,30.5,1.5,105,15,0,0,0,1,-2,-1,-1,-1
16,73,71,35,11,32.5,0.5,105,16,4,2,4,3,2,1,1,0
17,78,76,38,4,34.5,0.5,105,17,9,5,9,6,2,1,1,1
18,82,71,35,11,36.5,0.5,105,18,4,2,4,3,2,1,-1,0
19,87,76,38,4,38.5,0.5,105,19,9,5,9,6,2,1,1,1
20,93,74,37,2,40.5,0.5,105,20,7,4,7,5,2,1,-1,0
21,97,67,33,7,42.5,0.5,105,21,0,0,0,1,-2,-1,-1,-1
22,102,71,35,11,44.5,0.5,105,22,4,2,4,3,2,1,1,0
23,108,67,33,7,46.5,1.5,105,23,0,0,0,1,-2,-1,-1,-1
24,110,71,35,11,48.5,0.5,105,24,4,2,4,3,2,1,1,0
25,115,76,38,4,50.5,0.5,105,25,9,5,9,6,2,1,1,1
26,119,71,35,11,52.5,0.5,105,26,4,2,4,3,2,1,-1,0
27,124,76,38,4,54.5,0.5,105,27,9,5,9,6,2,1,1,1
28,130,74,37,2,56.5,0.5,105,28,7,4,7,5,2,1,-1,0
29,134,67,33,7,58.5,0.5,105,29,0,0,0,1,-2,-1,-1,-1
30,139,71,35,11,60.5,0.5,105,30,4,2,4,3,2,1,1,0
31,145,67,33,7,62.5,1.5,105,31,0,0,0,1,-2,-1,-1,-1
