,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,66,32,6,2.0,1.5,105,0,-1,-1,11,7,0,0,0,0
1,6,72,36,0,6.0,1.5,95,0,5,3,5,4,1,1,1,1
2,10,79,40,7,10.0,2.0,105,1,12,7,0,1,1,1,1,2
3,12,71,35,11,14.0,1.5,95,1,4,2,4,3,0,0,-1,1
4,16,76,38,4,18.0,0.67,105,2,9,5,9,6,-2,-1,1,2
5,20,69,34,9,22.0,1.5,95,2,2,1,2,2,0,0,-1,1
6,24,74,37,2,26.0,2.0,105,3,7,4,7,5,-2,-1,1,2
7,26,67,33,7,30.0,1.5,95,3,0,0,0,1,0,0,-1,1
8,30,66,32,6,34.0,1.5,105,4,-1,-1,11,7,-1,-1,-1,0
9,34,72,36,0,38.0,1.5,95,4,5,3,5,4,1,1,1,1
10,38,79,40,7,42.0,2.0,105,5,12,7,0,1,1,1,1,2
11,40,71,35,11,46.0,2.0,95,5,4,2,4,3,0,0,-1,1
12,43,76,38,4,50.0,2.0,105,6,9,5,9,6,-2,-1,1,2
13,45,74,37,2,54.0,2.0,95,6,7,4,7,5,5,3,-1,1
14,47,69,34,9,58.0,2.0,105,7,2,1,2,2,3,2,-1,0
15,49,67,33,7,62.0,2.0,95,7,0,0,0,1,0,0,-1,-1
16,52,66,32,6,66.0,1.5,105,8,-1,-1,11,7,-1,-1,-1,-2
17,56,72,36,0,70.0,1.5,95,8,5,3,5,4,1,1,1,-1
18,60,79,40,7,74.0,2.0,105,9,12,7,0,1,1,1,1,0
19,62,71,35,11,78.0,1.5,95,9,4,2,4,3,0,0,-1,-1
20,66,76,38,4,82.0,0.67,105,10,9,5,9,6,-2,-1,1,0
21,70,69,34,9,86.0,1.5,95,10,2,1,2,2,0,0,-1,-1
22,74,74,37,2,90.0,2.0,105,11,7,4,7,5,-2,-1,1,0
23,76,67,33,7,94.0,1.5,95,11,0,0,0,1,0,0,-1,-1
24,80,66,32,6,98.0,1.5,105,12,-1,-1,11,7,-1,-1,-1,-2
25,84,72,36,0,102.0,1.5,95,12,5,3,5,4,1,1,1,-1
26,88,79,40,7,106.0,2.0,105,13,12,7,0,1,1,1,1,0
27,90,71,35,11,110.0,2.0,95,13,4,2,4,3,0,0,-1,-1
28,93,76,38,4,114.0,2.0,105,14,9,5,9,6,-2,-1,1,0
29,95,74,37,2,118.0,2.0,95,14,7,4,7,5,5,3,-1,-1
30,97,69,34,9,122.0,2.0,105,15,2,1,2,2,3,2,-1,-2
31,99,67,33,7,126.0,1.5,95,15,0,0,0,1,0,0,-1,-3
32,103,74,37,2,130.0,2.0,105,16,7,4,7,5,2,1,1,-2
33,105,72,36,0,134.0,1.5,95,16,5,3,5,4,-11,-6,-1,-3
34,110,71,35,11,138.0,1.5,105,17,4,2,4,3,-10,-6,-1,-4
35,114,79,40,7,142.0,1.5,95,17,12,7,0,1,-2,-1,1,-3
36,118,72,36,0,146.0,2.0,105,18,5,3,5,4,5,3,-1,-4
37,120,76,38,4,150.0,1.5,95,18,9,5,9,6,0,0,1,-3
38,124,67,33,7,154.0,2.0,105,19,0,0,0,1,1,1,-1,-4
39,126,79,40,7,158.0,1.5,95,19,12,7,0,1,0,0,1,-3
40,130,74,37,2,162.0,2.0,105,20,7,4,7,5,2,1,-1,-4
41,132,72,36,0,166.0,1.5,95,20,5,3,5,4,-11,-6,-1,-5
42,137,71,35,11,170.0,1.5,105,21,4,2,4,3,-10,-6,-1,-6
43,141,79,40,7,174.0,1.5,95,21,12,7,0,1,-2,-1,1,-5
44,145,72,36,0,178.0,2.0,105,22,5,3,5,4,5,3,-1,-6
45,147,76,38,4,182.0,1.5,95,22,9,5,9,6,0,0,1,-5
46,151,74,37,2,186.0,1.5,105,23,7,4,7,5,-2,-1,-1,-6
47,155,67,33,7,190.0,2.0,95,23,0,0,0,1,-2,-1,-1,-7
48,159,74,37,2,194.0,2.0,105,24,7,4,7,5,2,1,1,-6
49,161,72,36,0,198.0,1.5,95,24,5,3,5,4,-11,-6,-1,-7
50,166,71,35,11,202.0,1.5,105,25,4,2,4,3,-10,-6,-1,-8
51,170,79,40,7,206.0,1.5,95,25,12,7,0,1,-2,-1,1,-7
52,174,72,36,0,210.0,2.0,105,26,5,3,5,4,5,3,-1,-8
53,176,76,38,4,214.0,1.5,95,26,9,5,9,6,0,0,1,-7
54,180,67,33,7,218.0,2.0,105,27,0,0,0,1,1,1,-1,-8
55,182,79,40,7,222.0,1.5,95,27,12,7,0,1,0,0,1,-7
56,186,74,37,2,226.0,2.0,105,28,7,4,7,5,2,1,-1,-8
57,188,72,36,0,230.0,1.5,95,28,5,3,5,4,-11,-6,-1,-9
58,193,71,35,11,234.0,1.5,105,29,4,2,4,3,-10,-6,-1,-10
59,197,79,40,7,238.0,1.5,95,29,12,7,0,1,-2,-1,1,-9
60,201,72,36,0,242.0,2.0,105,30,5,3,5,4,5,3,-1,-10
61,203,76,38,4,246.0,1.5,95,30,9,5,9,6,0,0,1,-9
62,207,74,37,2,250.0,1.5,105,31,7,4,7,5,-2,-1,-1,-10
63,211,67,33,7,254.0,2.0,95,31,0,0,0,1,-2,-1,-1,-11
