,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,74,37,2,1.0,0.5,105,0,7,4,7,5,0,0,0,0
1,7,69,34,9,5.0,1.0,95,0,2,1,2,2,-2,-1,-1,-1
2,11,60,29,0,9.0,1.5,105,1,-7,-4,5,4,1,1,-1,-2
3,15,67,33,7,13.0,2.0,95,1,0,0,0,1,1,1,1,-1
4,18,69,34,9,17.0,0.5,105,2,2,1,2,2,-2,-1,1,0
5,24,69,34,9,21.0,1.0,95,2,2,1,2,2,-5,-3,0,0
6,28,60,29,0,25.0,1.0,105,3,-7,-4,5,4,1,1,-1,-1
7,32,69,34,9,29.0,2.0,95,3,2,1,2,2,1,1,1,0
8,35,74,37,2,33.0,0.5,105,4,7,4,7,5,3,2,1,1
9,41,69,34,9,37.0,0.5,95,4,2,1,2,2,1,1,-1,0
10,45,64,31,4,41.0,0.5,105,5,-3,-2,9,6,2,1,-1,-1
11,54,57,27,9,45.0,0.5,95,5,-10,-6,2,2,0,0,-1,-2
12,59,60,29,0,49.0,0.67,105,6,-7,-4,5,4,1,1,1,-1
13,65,64,31,4,53.0,0.67,95,6,-3,-2,9,6,5,3,1,0
14,71,64,31,4,57.0,0.67,105,7,-3,-2,9,6,2,1,0,0
15,77,69,34,9,61.0,2.0,95,7,2,1,2,2,1,1,1,1
16,81,69,34,9,65.0,0.5,105,8,2,1,2,2,-2,-1,0,1
17,90,69,34,9,69.0,0.5,95,8,2,1,2,2,-2,-1,0,1
18,96,67,33,7,73.0,0.5,105,9,0,0,0,1,3,2,-1,0
19,100,60,29,0,77.0,0.5,95,9,-7,-4,5,4,-2,-1,-1,-1
20,111,69,34,9,81.0,0.5,105,10,2,1,2,2,-2,-1,1,0
21,120,69,34,9,85.0,0.5,95,10,2,1,2,2,-2,-1,0,0
22,126,72,36,0,89.0,1.5,105,11,5,3,5,4,-9,-5,1,1
23,130,69,34,9,93.0,2.0,95,11,2,1,2,2,1,1,-1,0
24,134,69,34,9,97.0,1.5,105,12,2,1,2,2,-2,-1,0,0
25,140,71,35,11,101.0,1.5,95,12,4,2,4,3,2,1,1,1
26,144,67,33,7,105.0,0.5,105,13,0,0,0,1,3,2,-1,0
27,148,60,29,0,109.0,0.5,95,13,-7,-4,5,4,-2,-1,-1,-1
28,159,60,29,0,113.0,0.67,105,14,-7,-4,5,4,1,1,0,-1
29,165,64,31,4,117.0,0.67,95,14,-3,-2,9,6,5,3,1,0
30,171,64,31,4,121.0,0.67,105,15,-3,-2,9,6,2,1,0,0
31,177,69,34,9,125.0,2.0,95,15,2,1,2,2,1,1,1,1
