,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,82,42,10,0.0,1.0,105,0,20,12,8,6,0,0,0,0
1,4,77,39,5,4.0,1.0,95,0,15,9,3,3,-5,-3,-1,-1
2,8,76,38,4,8.0,1.0,105,1,14,8,2,2,-1,-1,-1,-2
3,12,81,41,9,12.0,1.0,95,1,19,11,7,5,5,3,1,-1
4,16,77,39,5,16.0,1.0,105,2,15,9,3,3,-4,-2,-1,-2
5,20,76,38,4,20.0,1.0,95,2,14,8,2,2,-1,-1,-1,-3
6,24,80,40,8,24.0,1.0,105,3,18,10,6,4,4,2,1,-2
7,28,77,39,5,28.0,1.0,95,3,15,9,3,3,-3,-1,-1,-3
8,32,76,38,4,32.0,1.0,105,4,14,8,2,2,-1,-1,-1,-4
9,36,74,37,2,36.0,1.0,95,4,12,7,0,1,-2,-1,-1,-5
10,40,77,39,5,40.0,1.0,105,5,15,9,3,3,1,1,1,-4
11,44,77,39,5,44.0,1.0,95,5,15,9,3,3,-5,-3,0,-4
12,48,76,38,4,48.0,1.0,105,6,14,8,2,2,-1,-1,-1,-5
13,52,73,36,1,52.0,1.0,95,6,11,6,11,7,-3,-2,-1,-6
14,56,74,37,2,56.0,4.0,105,7,12,7,0,1,0,0,1,-5
15,57,79,40,7,60.0,2.0,95,7,17,10,5,4,5,3,1,-4
16,59,82,42,10,64.0,1.0,105,8,20,12,8,6,1,1,1,-3
17,63,77,39,5,68.0,1.0,95,8,15,9,3,3,-5,-3,-1,-4
18,67,76,38,4,72.0,1.0,105,9,14,8,2,2,-1,-1,-1,-5
19,71,81,41,9,76.0,1.0,95,9,19,11,7,5,5,3,1,-4
20,75,77,39,5,80.0,1.0,105,10,15,9,3,3,-4,-2,-1,-5
21,79,76,38,4,84.0,1.0,95,10,14,8,2,2,-1,-1,-1,-6
22,83,80,40,8,88.0,1.0,105,11,18,10,6,4,4,2,1,-5
23,87,77,39,5,92.0,1.0,95,11,15,9,3,3,-3,-1,-1,-6
24,91,76,38,4,96.0,1.0,105,12,14,8,2,2,-1,-1,-1,-7
25,95,74,37,2,100.0,1.0,95,12,12,7,0,1,-2,-1,-1,-8
26,99,77,39,5,104.0,1.0,105,13,15,9,3,3,1,1,1,-7
27,103,77,39,5,108.0,1.0,95,13,15,9,3,3,-5,-3,0,-7
28,107,76,38,4,112.0,1.0,105,14,14,8,2,2,-1,-1,-1,-8
29,111,73,36,1,116.0,1.0,95,14,11,6,11,7,-3,-2,-1,-9
30,115,74,37,2,120.0,4.0,105,15,12,7,0,1,0,0,1,-8
31,116,74,37,2,124.0,2.0,95,15,12,7,0,1,0,0,0,-8
32,118,74,37,2,128.0,1.0,105,16,12,7,0,1,1,1,0,-8
33,122,65,32,5,132.0,1.0,95,16,3,2,3,3,-2,-1,-1,-9
34,126,74,37,2,136.0,2.0,105,17,12,7,0,1,1,1,1,-8
35,128,74,37,2,140.0,1.0,95,17,12,7,0,1,0,0,0,-8
36,132,65,32,5,144.0,1.0,105,18,3,2,3,3,-2,-1,-1,-9
37,136,74,37,2,148.0,2.0,95,18,12,7,0,1,1,1,1,-8
38,138,74,37,2,152.0,1.0,105,19,12,7,0,1,0,0,0,-8
39,142,67,33,7,156.0,1.0,95,19,5,3,5,4,-5,-3,-1,-9
40,146,64,31,4,160.0,1.0,105,20,2,1,2,2,-1,-1,-1,-10
41,150,69,34,9,164.0,1.0,95,20,7,4,7,5,-4,-2,1,-9
42,154,64,31,4,168.0,1.0,105,21,2,1,2,2,2,1,-1,-10
43,158,62,30,2,172.0,4.0,95,21,0,0,0,1,0,0,-1,-11
44,159,69,34,9,176.0,1.0,105,22,7,4,7,5,7,4,1,-10
45,163,64,31,4,180.0,1.0,95,22,2,1,2,2,2,1,-1,-11
46,167,62,30,2,184.0,6.0,105,23,0,0,0,1,0,0,-1,-12
47,169,74,37,2,192.0,1.0,105,24,12,7,0,1,1,1,1,-11
48,173,65,32,5,196.0,1.0,95,24,3,2,3,3,-2,-1,-1,-12
49,177,74,37,2,200.0,2.0,105,25,12,7,0,1,1,1,1,-11
50,179,74,37,2,204.0,1.0,95,25,12,7,0,1,0,0,0,-11
51,183,65,32,5,208.0,1.0,105,26,3,2,3,3,-2,-1,-1,-12
52,187,74,37,2,212.0,2.0,95,26,12,7,0,1,1,1,1,-11
53,189,74,37,2,216.0,1.0,105,27,12,7,0,1,0,0,0,-11
54,193,67,33,7,220.0,1.0,95,27,5,3,5,4,-5,-3,-1,-12
55,197,64,31,4,224.0,1.0,105,28,2,1,2,2,-1,-1,-1,-13
56,201,69,34,9,228.0,1.0,95,28,7,4,7,5,-4,-2,1,-12
57,205,64,31,4,232.0,1.0,105,29,2,1,2,2,2,1,-1,-13
58,209,62,30,2,236.0,4.0,95,29,0,0,0,1,0,0,-1,-14
59,210,74,37,2,240.0,1.0,105,30,12,7,0,1,12,7,1,-13
60,214,65,32,5,244.0,1.0,95,30,3,2,3,3,-2,-1,-1,-14
61,218,74,37,2,248.0,2.0,105,31,12,7,0,1,1,1,1,-13
62,220,79,40,7,252.0,2.0,95,31,17,10,5,4,5,3,1,-12
