,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,1.0,105,0,2,1,2,2,0,0,0,0
1,4,76,38,4,4.0,1.0,105,1,9,5,9,6,2,1,1,1
2,7,76,38,4,8.0,1.0,105,2,9,5,9,6,2,1,0,1
3,11,76,38,4,12.0,1.0,105,3,9,5,9,6,-2,-1,0,1
4,14,67,33,7,16.0,1.0,105,4,0,0,0,1,-2,-1,-1,0
5,18,74,37,2,20.0,1.0,105,5,7,4,7,5,2,1,1,1
6,21,74,37,2,24.0,1.0,105,6,7,4,7,5,-2,-1,0,1
7,25,74,37,2,28.0,2.0,105,7,7,4,7,5,3,2,0,1
8,28,69,34,9,32.0,1.0,105,8,2,1,2,2,-2,-1,-1,0
9,32,76,38,4,36.0,1.0,105,9,9,5,9,6,2,1,1,1
10,35,76,38,4,40.0,1.0,105,10,9,5,9,6,2,1,0,1
11,39,76,38,4,44.0,1.0,105,11,9,5,9,6,-2,-1,0,1
12,42,81,41,9,48.0,1.0,105,12,14,8,2,2,12,7,1,2
13,47,74,37,2,52.0,1.0,105,13,7,4,7,5,-2,-1,-1,1
14,50,69,34,9,56.0,2.0,105,14,2,1,2,2,-2,-1,-1,0
15,53,69,34,9,60.0,2.0,105,15,2,1,2,2,2,1,0,0
16,55,69,34,9,64.0,1.0,95,15,2,1,2,2,5,3,0,0
17,59,76,38,4,68.0,1.0,105,16,9,5,9,6,2,1,1,1
18,62,76,38,4,72.0,1.0,105,17,9,5,9,6,2,1,0,1
19,66,76,38,4,76.0,1.0,105,18,9,5,9,6,-2,-1,0,1
20,69,67,33,7,80.0,1.0,105,19,0,0,0,1,-2,-1,-1,0
21,73,74,37,2,84.0,1.0,105,20,7,4,7,5,2,1,1,1
22,76,74,37,2,88.0,1.0,105,21,7,4,7,5,-2,-1,0,1
23,80,74,37,2,92.0,2.0,105,22,7,4,7,5,3,2,0,1
24,83,69,34,9,96.0,1.0,105,23,2,1,2,2,-2,-1,-1,0
25,87,76,38,4,100.0,1.0,105,24,9,5,9,6,2,1,1,1
26,90,76,38,4,104.0,1.0,105,25,9,5,9,6,2,1,0,1
27,94,76,38,4,108.0,1.0,105,26,9,5,9,6,-2,-1,0,1
28,97,81,41,9,112.0,1.0,105,27,14,8,2,2,12,7,1,2
29,102,74,37,2,116.0,1.0,105,28,7,4,7,5,-2,-1,-1,1
30,105,69,34,9,120.0,2.0,105,29,2,1,2,2,-2,-1,-1,0
31,108,69,34,9,124.0,4.0,105,30,2,1,2,2,2,1,0,0
32,109,81,41,9,128.0,1.0,95,30,14,8,2,2,12,7,1,1
33,112,76,38,4,132.0,1.0,105,31,9,5,9,6,-3,-2,-1,0
34,115,79,40,7,136.0,1.5,105,32,12,7,0,1,3,2,1,1
35,119,74,37,2,140.0,1.0,105,33,7,4,7,5,-2,-1,-1,0
36,122,81,41,9,144.0,1.0,105,34,14,8,2,2,14,8,1,1
37,125,76,38,4,148.0,1.0,105,35,9,5,9,6,-3,-2,-1,0
38,128,79,40,7,152.0,1.5,105,36,12,7,0,1,3,2,1,1
39,132,79,40,7,156.0,2.0,105,37,12,7,0,1,3,2,0,1
40,134,81,41,9,160.0,1.0,105,38,14,8,2,2,2,1,1,2
41,137,76,38,4,164.0,1.0,105,39,9,5,9,6,-3,-2,-1,1
42,140,79,40,7,168.0,1.5,105,40,12,7,0,1,3,2,1,2
43,144,74,37,2,172.0,1.0,105,41,7,4,7,5,-2,-1,-1,1
44,147,69,34,9,176.0,1.5,105,42,2,1,2,2,2,1,-1,0
45,151,76,38,4,180.0,2.0,105,43,9,5,9,6,2,1,1,1
46,154,69,34,9,184.0,1.5,105,44,2,1,2,2,-2,-1,-1,0
47,158,76,38,4,188.0,4.0,105,45,9,5,9,6,2,1,1,1
48,159,81,41,9,192.0,1.0,95,45,14,8,2,2,5,3,1,2
49,162,76,38,4,196.0,1.0,105,46,9,5,9,6,-3,-2,-1,1
50,165,79,40,7,200.0,1.5,105,47,12,7,0,1,3,2,1,2
51,169,74,37,2,204.0,1.0,105,48,7,4,7,5,-2,-1,-1,1
52,172,81,41,9,208.0,1.0,105,49,14,8,2,2,14,8,1,2
53,175,76,38,4,212.0,1.0,105,50,9,5,9,6,-3,-2,-1,1
54,178,79,40,7,216.0,1.5,105,51,12,7,0,1,3,2,1,2
55,182,79,40,7,220.0,2.0,105,52,12,7,0,1,3,2,0,2
56,184,81,41,9,224.0,1.0,105,53,14,8,2,2,2,1,1,3
57,187,76,38,4,228.0,1.0,105,54,9,5,9,6,-3,-2,-1,2
58,190,79,40,7,232.0,1.5,105,55,12,7,0,1,3,2,1,3
59,194,74,37,2,236.0,1.0,105,56,7,4,7,5,-2,-1,-1,2
60,197,69,34,9,240.0,1.5,105,57,2,1,2,2,2,1,-1,1
61,201,76,38,4,244.0,2.0,105,58,9,5,9,6,2,1,1,2
62,204,69,34,9,248.0,1.5,105,59,2,1,2,2,-2,-1,-1,1
63,208,69,34,9,252.0,2.0,105,60,2,1,2,2,2,1,0,1
