,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,72,36,0,2.0,1.33,105,0,5,3,5,4,0,0,0,0
1,6,69,34,9,6.0,1.33,95,0,2,1,2,2,-3,-2,-1,-1
2,10,76,38,4,10.0,2.0,105,1,9,5,9,6,2,1,1,0
3,12,69,34,9,14.0,2.0,95,1,2,1,2,2,0,0,-1,-1
4,16,72,36,0,18.0,2.0,105,2,5,3,5,4,-2,-1,1,0
5,19,69,34,9,22.0,2.0,95,2,2,1,2,2,-3,-2,-1,-1
6,23,71,35,11,26.0,2.0,105,3,4,2,4,3,2,1,1,0
7,25,67,33,7,30.0,3.33,95,3,0,0,0,1,0,0,-1,-1
8,27,72,36,0,34.0,0.67,105,4,5,3,5,4,-2,-1,1,0
9,32,69,34,9,38.0,3.33,95,4,2,1,2,2,-3,-2,-1,-1
10,34,72,36,0,42.0,1.33,105,5,5,3,5,4,1,1,1,0
11,38,76,38,4,46.0,3.33,95,5,9,5,9,6,2,1,1,1
12,40,79,40,7,50.0,1.33,105,6,12,7,0,1,1,1,1,2
13,44,81,41,9,54.0,1.33,95,6,14,8,2,2,5,3,1,3
14,48,72,36,0,58.0,2.0,105,7,5,3,5,4,-2,-1,-1,2
15,50,69,34,9,62.0,2.0,95,7,2,1,2,2,0,0,-1,1
16,53,72,36,0,66.0,1.33,105,8,5,3,5,4,-2,-1,1,2
17,57,69,34,9,70.0,1.33,95,8,2,1,2,2,-3,-2,-1,1
18,61,76,38,4,74.0,2.0,105,9,9,5,9,6,2,1,1,2
19,63,69,34,9,78.0,2.0,95,9,2,1,2,2,0,0,-1,1
20,67,72,36,0,82.0,2.0,105,10,5,3,5,4,-2,-1,1,2
21,70,69,34,9,86.0,2.0,95,10,2,1,2,2,-3,-2,-1,1
22,74,71,35,11,90.0,2.0,105,11,4,2,4,3,2,1,1,2
23,76,67,33,7,94.0,3.33,95,11,0,0,0,1,0,0,-1,1
24,78,72,36,0,98.0,0.67,105,12,5,3,5,4,-2,-1,1,2
25,83,69,34,9,102.0,3.33,95,12,2,1,2,2,-3,-2,-1,1
26,85,72,36,0,106.0,1.33,105,13,5,3,5,4,1,1,1,2
27,89,76,38,4,110.0,3.33,95,13,9,5,9,6,2,1,1,3
28,91,79,40,7,114.0,1.33,105,14,12,7,0,1,1,1,1,4
29,95,81,41,9,118.0,1.33,95,14,14,8,2,2,5,3,1,5
30,99,72,36,0,122.0,2.0,105,15,5,3,5,4,-2,-1,-1,4
31,101,69,34,9,126.0,2.0,95,15,2,1,2,2,0,0,-1,3
32,103,81,41,9,130.0,0.67,105,16,14,8,2,2,5,3,1,4
33,109,81,41,9,134.0,1.33,95,16,14,8,2,2,2,1,0,4
34,113,72,36,0,138.0,2.0,105,17,5,3,5,4,-2,-1,-1,3
35,115,69,34,9,142.0,3.33,95,17,2,1,2,2,0,0,-1,2
36,117,79,40,7,146.0,1.33,105,18,12,7,0,1,3,2,1,3
37,121,79,40,7,150.0,1.33,95,18,12,7,0,1,-2,-1,0,3
38,125,71,35,11,154.0,2.0,105,19,4,2,4,3,-1,-1,-1,2
39,127,67,33,7,158.0,2.0,95,19,0,0,0,1,0,0,-1,1
40,131,81,41,9,162.0,1.33,105,20,14,8,2,2,2,1,1,2
41,135,81,41,9,166.0,1.33,95,20,14,8,2,2,2,1,0,2
42,139,72,36,0,170.0,1.33,105,21,5,3,5,4,-2,-1,-1,1
43,143,76,38,4,174.0,3.33,95,21,9,5,9,6,2,1,1,2
44,145,79,40,7,178.0,2.0,105,22,12,7,0,1,1,1,1,3
45,149,81,41,9,182.0,1.33,95,22,14,8,2,2,5,3,1,4
46,153,72,36,0,186.0,2.0,105,23,5,3,5,4,-2,-1,-1,3
47,155,69,34,9,190.0,2.0,95,23,2,1,2,2,0,0,-1,2
48,157,81,41,9,194.0,0.67,105,24,14,8,2,2,5,3,1,3
49,163,81,41,9,198.0,1.33,95,24,14,8,2,2,2,1,0,3
50,167,72,36,0,202.0,2.0,105,25,5,3,5,4,-2,-1,-1,2
51,169,69,34,9,206.0,3.33,95,25,2,1,2,2,0,0,-1,1
52,171,79,40,7,210.0,1.33,105,26,12,7,0,1,3,2,1,2
53,175,79,40,7,214.0,1.33,95,26,12,7,0,1,-2,-1,0,2
54,179,71,35,11,218.0,2.0,105,27,4,2,4,3,-1,-1,-1,1
55,181,67,33,7,222.0,2.0,95,27,0,0,0,1,0,0,-1,0
56,185,81,41,9,226.0,1.33,105,28,14,8,2,2,2,1,1,1
57,189,81,41,9,230.0,1.33,95,28,14,8,2,2,2,1,0,1
58,193,72,36,0,234.0,1.33,105,29,5,3,5,4,-2,-1,-1,0
59,197,76,38,4,238.0,3.33,95,29,9,5,9,6,2,1,1,1
60,199,79,40,7,242.0,2.0,105,30,12,7,0,1,1,1,1,2
61,203,81,41,9,246.0,1.33,95,30,14,8,2,2,5,3,1,3
62,207,72,36,0,250.0,2.0,105,31,5,3,5,4,-2,-1,-1,2
63,209,69,34,9,254.0,2.0,95,31,2,1,2,2,0,0,-1,1
