,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,62,30,2,2.0,2.0,105,0,0,0,0,1,0,0,0,0
1,5,62,30,2,6.0,1.33,95,0,0,0,0,1,-7,-4,0,0
2,9,74,37,2,10.0,1.33,105,1,12,7,0,1,5,3,1,1
3,13,74,37,2,14.0,1.33,95,1,12,7,0,1,1,1,0,1
4,17,76,38,4,18.0,0.5,105,2,14,8,2,2,7,4,1,2
5,22,79,40,7,22.0,1.33,95,2,17,10,5,4,-2,-1,1,3
6,26,76,38,4,26.0,1.33,105,3,14,8,2,2,-3,-2,-1,2
7,30,69,34,9,30.0,1.33,95,3,7,4,7,5,-2,-1,-1,1
8,34,62,30,2,34.0,2.0,105,4,0,0,0,1,-2,-1,-1,0
9,37,62,30,2,38.0,1.33,95,4,0,0,0,1,-7,-4,0,0
10,41,74,37,2,42.0,1.33,105,5,12,7,0,1,5,3,1,1
11,45,74,37,2,46.0,1.33,95,5,12,7,0,1,1,1,0,1
12,49,76,38,4,50.0,0.5,105,6,14,8,2,2,7,4,1,2
13,54,79,40,7,54.0,1.33,95,6,17,10,5,4,-2,-1,1,3
14,58,74,37,2,58.0,1.33,105,7,12,7,0,1,5,3,-1,2
15,62,74,37,2,62.0,2.0,95,7,12,7,0,1,-2,-1,0,2
16,65,62,30,2,66.0,2.0,105,8,0,0,0,1,-4,-2,-1,1
17,68,62,30,2,70.0,1.33,95,8,0,0,0,1,-7,-4,0,1
18,72,74,37,2,74.0,1.33,105,9,12,7,0,1,5,3,1,2
19,76,74,37,2,78.0,1.33,95,9,12,7,0,1,1,1,0,2
20,80,76,38,4,82.0,0.5,105,10,14,8,2,2,7,4,1,3
21,85,79,40,7,86.0,1.33,95,10,17,10,5,4,-2,-1,1,4
22,89,76,38,4,90.0,0.5,105,11,14,8,2,2,-3,-2,-1,3
23,94,69,34,9,94.0,1.33,95,11,7,4,7,5,-2,-1,-1,2
24,98,62,30,2,98.0,2.0,105,12,0,0,0,1,-2,-1,-1,1
25,101,62,30,2,102.0,1.33,95,12,0,0,0,1,-7,-4,0,1
26,105,74,37,2,106.0,1.33,105,13,12,7,0,1,5,3,1,2
27,109,74,37,2,110.0,1.33,95,13,12,7,0,1,1,1,0,2
28,113,76,38,4,114.0,0.5,105,14,14,8,2,2,7,4,1,3
29,118,79,40,7,118.0,1.33,95,14,17,10,5,4,-2,-1,1,4
30,122,74,37,2,122.0,1.33,105,15,12,7,0,1,-5,-3,-1,3
31,126,74,37,2,126.0,2.0,95,15,12,7,0,1,-2,-1,0,3
32,129,76,38,4,130.0,1.33,105,16,14,8,2,2,2,1,1,4
33,134,78,39,6,134.0,1.33,95,16,16,9,4,3,9,5,1,5
34,139,79,40,7,138.0,1.33,105,17,17,10,5,4,10,6,1,6
35,143,76,38,4,142.0,1.33,95,17,14,8,2,2,7,4,-1,5
36,148,76,38,4,146.0,0.5,105,18,14,8,2,2,7,4,0,5
37,153,79,40,7,150.0,1.33,95,18,17,10,5,4,-2,-1,1,6
38,157,76,38,4,154.0,1.33,105,19,14,8,2,2,-3,-2,-1,5
39,161,69,34,9,158.0,1.33,95,19,7,4,7,5,-2,-1,-1,4
40,165,62,30,2,162.0,2.0,105,20,0,0,0,1,-2,-1,-1,3
41,168,62,30,2,166.0,1.33,95,20,0,0,0,1,-7,-4,0,3
42,172,74,37,2,170.0,1.33,105,21,12,7,0,1,5,3,1,4
43,176,74,37,2,174.0,1.33,95,21,12,7,0,1,1,1,0,4
44,180,76,38,4,178.0,0.5,105,22,14,8,2,2,7,4,1,5
45,185,79,40,7,182.0,1.33,95,22,17,10,5,4,-2,-1,1,6
46,189,74,37,2,186.0,1.33,105,23,12,7,0,1,5,3,-1,5
47,193,74,37,2,190.0,2.0,95,23,12,7,0,1,-2,-1,0,5
48,196,76,38,4,194.0,1.33,105,24,14,8,2,2,2,1,1,6
49,201,78,39,6,198.0,1.33,95,24,16,9,4,3,9,5,1,7
50,206,79,40,7,202.0,1.33,105,25,17,10,5,4,10,6,1,8
51,210,76,38,4,206.0,1.33,95,25,14,8,2,2,7,4,-1,7
52,215,76,38,4,210.0,0.5,105,26,14,8,2,2,7,4,0,7
53,220,79,40,7,214.0,1.33,95,26,17,10,5,4,-2,-1,1,8
54,224,76,38,4,218.0,0.5,105,27,14,8,2,2,-3,-2,-1,7
55,230,69,34,9,222.0,0.5,95,27,7,4,7,5,-2,-1,-1,6
56,236,62,30,2,226.0,2.0,105,28,0,0,0,1,-2,-1,-1,5
57,239,62,30,2,230.0,1.33,95,28,0,0,0,1,-7,-4,0,5
58,243,74,37,2,234.0,1.33,105,29,12,7,0,1,5,3,1,6
59,247,74,37,2,238.0,1.33,95,29,12,7,0,1,1,1,0,6
60,251,76,38,4,242.0,0.5,105,30,14,8,2,2,7,4,1,7
61,256,79,40,7,246.0,1.33,95,30,17,10,5,4,-2,-1,1,8
62,260,74,37,2,250.0,1.33,105,31,12,7,0,1,5,3,-1,7
63,264,74,37,2,254.0,2.0,95,31,12,7,0,1,-2,-1,0,7
