,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,64,31,4,0.0,2.0,105,0,0,0,0,1,0,0,0,0
1,3,64,31,4,4.0,2.0,95,0,0,0,0,1,2,1,0,0
2,6,71,35,11,8.0,1.0,105,1,7,4,7,5,2,1,1,1
3,10,62,30,2,12.0,1.0,95,1,-2,-1,10,7,-4,-2,-1,0
4,14,71,35,11,16.0,2.0,105,2,7,4,7,5,2,1,1,1
5,17,76,38,4,20.0,2.0,95,2,12,7,0,1,2,1,1,2
6,20,71,35,11,24.0,1.0,105,3,7,4,7,5,-3,-2,-1,1
7,24,62,30,2,28.0,1.0,95,3,-2,-1,10,7,-4,-2,-1,0
8,28,64,31,4,32.0,2.0,105,4,0,0,0,1,2,1,1,1
9,31,64,31,4,36.0,2.0,95,4,0,0,0,1,2,1,0,1
10,34,71,35,11,40.0,1.0,105,5,7,4,7,5,2,1,1,2
11,38,62,30,2,44.0,1.0,95,5,-2,-1,10,7,-4,-2,-1,1
12,42,71,35,11,48.0,2.0,105,6,7,4,7,5,2,1,1,2
13,45,76,38,4,52.0,2.0,95,6,12,7,0,1,2,1,1,3
14,48,71,35,11,56.0,1.0,105,7,7,4,7,5,-3,-2,-1,2
15,52,66,32,6,60.0,1.0,95,7,2,1,2,2,0,0,-1,1
16,55,64,31,4,64.0,2.0,105,8,0,0,0,1,0,0,-1,0
17,58,64,31,4,68.0,2.0,95,8,0,0,0,1,2,1,0,0
18,61,71,35,11,72.0,1.0,105,9,7,4,7,5,2,1,1,1
19,65,62,30,2,76.0,1.0,95,9,-2,-1,10,7,-4,-2,-1,0
20,69,71,35,11,80.0,2.0,105,10,7,4,7,5,2,1,1,1
21,72,76,38,4,84.0,2.0,95,10,12,7,0,1,2,1,1,2
22,75,71,35,11,88.0,1.0,105,11,7,4,7,5,-3,-2,-1,1
23,79,62,30,2,92.0,1.0,95,11,-2,-1,10,7,-4,-2,-1,0
24,83,64,31,4,96.0,2.0,105,12,0,0,0,1,2,1,1,1
25,86,64,31,4,100.0,2.0,95,12,0,0,0,1,2,1,0,1
26,89,71,35,11,104.0,1.0,105,13,7,4,7,5,2,1,1,2
27,93,62,30,2,108.0,1.0,95,13,-2,-1,10,7,-4,-2,-1,1
28,97,71,35,11,112.0,2.0,105,14,7,4,7,5,2,1,1,2
29,100,76,38,4,116.0,2.0,95,14,12,7,0,1,2,1,1,3
30,103,71,35,11,120.0,1.0,105,15,7,4,7,5,-3,-2,-1,2
31,107,66,32,6,124.0,1.0,95,15,2,1,2,2,0,0,-1,1
32,110,71,35,11,128.0,1.0,105,16,7,4,7,5,7,4,1,2
33,114,71,35,11,132.0,1.0,95,16,7,4,7,5,-5,-3,0,2
34,118,71,35,11,136.0,1.0,105,17,7,4,7,5,-5,-3,0,2
35,122,62,30,2,140.0,1.0,95,17,-2,-1,10,7,-4,-2,-1,1
36,126,78,39,6,144.0,2.0,105,18,14,8,2,2,9,5,1,2
37,129,78,39,6,148.0,2.0,95,18,14,8,2,2,2,1,0,2
38,132,74,37,2,152.0,1.0,105,19,10,6,10,7,-2,-1,-1,1
39,136,62,30,2,156.0,1.0,95,19,-2,-1,10,7,-4,-2,-1,0
40,140,71,35,11,160.0,1.0,105,20,7,4,7,5,2,1,1,1
41,144,71,35,11,164.0,1.0,95,20,7,4,7,5,-5,-3,0,1
42,148,71,35,11,168.0,1.0,105,21,7,4,7,5,-5,-3,0,1
43,152,62,30,2,172.0,1.0,95,21,-2,-1,10,7,-4,-2,-1,0
44,156,78,39,6,176.0,2.0,105,22,14,8,2,2,9,5,1,1
45,159,74,37,2,180.0,1.0,95,22,10,6,10,7,-2,-1,-1,0
46,163,74,37,2,184.0,1.0,105,23,10,6,10,7,-2,-1,0,0
47,167,66,32,6,188.0,1.0,95,23,2,1,2,2,0,0,-1,-1
48,170,71,35,11,192.0,1.0,105,24,7,4,7,5,7,4,1,0
49,174,71,35,11,196.0,1.0,95,24,7,4,7,5,-5,-3,0,0
50,178,71,35,11,200.0,1.0,105,25,7,4,7,5,-5,-3,0,0
51,182,62,30,2,204.0,1.0,95,25,-2,-1,10,7,-4,-2,-1,-1
52,186,78,39,6,208.0,2.0,105,26,14,8,2,2,9,5,1,0
53,189,78,39,6,212.0,2.0,95,26,14,8,2,2,2,1,0,0
54,192,74,37,2,216.0,1.0,105,27,10,6,10,7,-2,-1,-1,-1
55,196,62,30,2,220.0,1.0,95,27,-2,-1,10,7,-4,-2,-1,-2
56,200,71,35,11,224.0,1.0,105,28,7,4,7,5,2,1,1,-1
57,204,71,35,11,228.0,1.0,95,28,7,4,7,5,-5,-3,0,-1
58,208,71,35,11,232.0,1.0,105,29,7,4,7,5,-5,-3,0,-1
59,212,62,30,2,236.0,1.0,95,29,-2,-1,10,7,-4,-2,-1,-2
60,216,78,39,6,240.0,2.0,105,30,14,8,2,2,9,5,1,-1
61,219,74,37,2,244.0,1.0,95,30,10,6,10,7,-2,-1,-1,-2
62,223,74,37,2,248.0,1.0,105,31,10,6,10,7,-2,-1,0,-2
63,227,66,32,6,252.0,1.0,95,31,2,1,2,2,0,0,-1,-3
