,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,64,31,4,0.0,2.0,105,0,2,1,2,2,0,0,0,0
1,3,73,36,1,4.0,1.0,95,0,11,6,11,7,-1,-1,1,1
2,7,64,31,4,8.0,2.0,105,1,2,1,2,2,0,0,-1,0
3,10,66,32,6,12.0,1.0,95,1,4,2,4,3,-1,-1,1,1
4,14,64,31,4,16.0,2.0,105,2,2,1,2,2,-2,-1,-1,0
5,17,73,36,1,20.0,1.0,95,2,11,6,11,7,-1,-1,1,1
6,21,74,37,2,24.0,1.0,105,3,12,7,0,1,1,1,1,2
7,25,74,37,2,28.0,1.0,95,3,12,7,0,1,1,1,0,2
8,29,64,31,4,32.0,2.0,105,4,2,1,2,2,2,1,-1,1
9,32,73,36,1,36.0,1.0,95,4,11,6,11,7,-1,-1,1,2
10,36,64,31,4,40.0,2.0,105,5,2,1,2,2,0,0,-1,1
11,39,66,32,6,44.0,1.0,95,5,4,2,4,3,-1,-1,1,2
12,43,64,31,4,48.0,2.0,105,6,2,1,2,2,-2,-1,-1,1
13,46,73,36,1,52.0,1.0,95,6,11,6,11,7,-1,-1,1,2
14,50,74,37,2,56.0,1.0,105,7,12,7,0,1,1,1,1,3
15,54,74,37,2,60.0,1.0,95,7,12,7,0,1,1,1,0,3
16,58,74,37,2,64.0,2.0,105,8,12,7,0,1,5,3,0,3
17,61,74,37,2,68.0,1.0,95,8,12,7,0,1,-2,-1,0,3
18,65,73,36,1,72.0,0.67,105,9,11,6,11,7,-1,-1,-1,2
19,70,73,36,1,76.0,1.0,95,9,11,6,11,7,-1,-1,0,2
20,74,74,37,2,80.0,1.0,105,10,12,7,0,1,1,1,1,3
21,78,74,37,2,84.0,1.0,95,10,12,7,0,1,-2,-1,0,3
22,82,74,37,2,88.0,1.0,105,11,12,7,0,1,1,1,0,3
23,86,81,41,9,92.0,1.0,95,11,19,11,7,5,1,1,1,4
24,90,74,37,2,96.0,1.0,105,12,12,7,0,1,5,3,-1,3
25,94,74,37,2,100.0,1.0,95,12,12,7,0,1,-2,-1,0,3
26,98,73,36,1,104.0,0.67,105,13,11,6,11,7,-1,-1,-1,2
27,103,73,36,1,108.0,1.0,95,13,11,6,11,7,4,2,0,2
28,107,78,39,6,112.0,1.0,105,14,16,9,4,3,-1,-1,1,3
29,111,74,37,2,116.0,1.0,95,14,12,7,0,1,1,1,-1,2
30,115,80,40,8,120.0,1.0,105,15,18,10,6,4,-1,-1,1,3
31,119,81,41,9,124.0,1.0,95,15,19,11,7,5,1,1,1,4
