,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,62,30,2,0.0,1.0,105,0,-5,-3,7,5,0,0,0,0
1,4,71,35,11,4.0,1.0,95,0,4,2,4,3,2,1,1,1
2,8,69,34,9,8.0,1.0,105,1,2,1,2,2,2,1,-1,0
3,12,69,34,9,12.0,1.0,95,1,2,1,2,2,2,1,0,0
4,16,62,30,2,16.0,2.0,105,2,-5,-3,7,5,-5,-3,-1,-1
5,19,71,35,11,20.0,0.5,95,2,4,2,4,3,2,1,1,0
6,24,79,40,7,24.0,1.0,105,3,12,7,0,1,5,3,1,1
7,28,69,34,9,28.0,1.0,95,3,2,1,2,2,-2,-1,-1,0
8,32,62,30,2,32.0,1.0,105,4,-5,-3,7,5,-2,-1,-1,-1
9,36,71,35,11,36.0,1.0,95,4,4,2,4,3,2,1,1,0
10,41,69,34,9,40.0,1.0,105,5,2,1,2,2,2,1,-1,-1
11,45,69,34,9,44.0,1.0,95,5,2,1,2,2,2,1,0,-1
12,49,71,35,11,48.0,0.5,105,6,4,2,4,3,2,1,1,0
13,54,71,35,11,52.0,1.0,95,6,4,2,4,3,-3,-2,0,0
14,58,74,37,2,56.0,1.0,105,7,7,4,7,5,-5,-3,1,1
15,62,67,33,7,60.0,1.0,95,7,0,0,0,1,-4,-2,-1,0
16,66,62,30,2,64.0,1.0,105,8,-5,-3,7,5,-2,-1,-1,-1
17,70,71,35,11,68.0,1.0,95,8,4,2,4,3,2,1,1,0
18,75,69,34,9,72.0,1.0,105,9,2,1,2,2,2,1,-1,-1
19,79,69,34,9,76.0,1.0,95,9,2,1,2,2,2,1,0,-1
20,83,62,30,2,80.0,2.0,105,10,-5,-3,7,5,-5,-3,-1,-2
21,86,71,35,11,84.0,0.5,95,10,4,2,4,3,2,1,1,-1
22,91,79,40,7,88.0,1.0,105,11,12,7,0,1,5,3,1,0
23,95,69,34,9,92.0,1.0,95,11,2,1,2,2,-2,-1,-1,-1
24,99,62,30,2,96.0,1.0,95,11,-5,-3,7,5,-2,-1,-1,-2
25,103,71,35,11,100.0,1.0,95,11,4,2,4,3,2,1,1,-1
26,107,69,34,9,104.0,1.0,105,12,2,1,2,2,2,1,-1,-2
27,111,69,34,9,108.0,1.0,95,12,2,1,2,2,2,1,0,-2
28,115,71,35,11,112.0,0.5,105,13,4,2,4,3,2,1,1,-1
29,120,71,35,11,116.0,1.0,95,13,4,2,4,3,-3,-2,0,-1
30,124,74,37,2,120.0,1.0,105,14,7,4,7,5,-2,-1,1,0
31,128,67,33,7,124.0,1.0,95,14,0,0,0,1,-4,-2,-1,-1
32,132,79,40,7,128.0,1.0,105,15,12,7,0,1,5,3,1,0
33,137,67,33,7,132.0,1.0,95,15,0,0,0,1,-4,-2,-1,-1
34,141,76,38,4,136.0,1.0,105,16,9,5,9,6,2,1,1,0
35,145,67,33,7,140.0,1.0,95,16,0,0,0,1,-4,-2,-1,-1
36,149,69,34,9,144.0,1.0,105,17,2,1,2,2,0,0,1,0
37,153,69,34,9,148.0,1.0,95,17,2,1,2,2,-2,-1,0,0
38,157,72,36,0,152.0,1.0,105,18,5,3,5,4,8,5,1,1
39,161,69,34,9,156.0,1.0,95,18,2,1,2,2,2,1,-1,0
40,165,79,40,7,160.0,1.0,105,19,12,7,0,1,3,2,1,1
41,169,83,42,11,164.0,1.0,95,19,16,9,4,3,2,1,1,2
42,173,79,40,7,168.0,1.0,105,20,12,7,0,1,1,1,-1,1
43,177,69,34,9,172.0,1.0,95,20,2,1,2,2,-2,-1,-1,0
44,181,62,30,2,176.0,1.0,105,21,-5,-3,7,5,-2,-1,-1,-1
45,185,71,35,11,180.0,0.5,95,21,4,2,4,3,2,1,1,0
46,190,74,37,2,184.0,1.0,105,22,7,4,7,5,-2,-1,1,1
47,194,67,33,7,188.0,1.0,95,22,0,0,0,1,-4,-2,-1,0
48,198,79,40,7,192.0,1.0,105,23,12,7,0,1,5,3,1,1
49,203,67,33,7,196.0,1.0,95,23,0,0,0,1,-4,-2,-1,0
50,207,76,38,4,200.0,1.0,105,24,9,5,9,6,2,1,1,1
51,211,67,33,7,204.0,1.0,95,24,0,0,0,1,-4,-2,-1,0
52,215,69,34,9,208.0,1.0,105,25,2,1,2,2,0,0,1,1
53,219,69,34,9,212.0,1.0,95,25,2,1,2,2,-2,-1,0,1
54,223,72,36,0,216.0,0.5,105,26,5,3,5,4,8,5,1,2
55,228,69,34,9,220.0,1.0,95,26,2,1,2,2,2,1,-1,1
56,232,79,40,7,224.0,0.5,105,27,12,7,0,1,3,2,1,2
57,237,83,42,11,228.0,1.0,95,27,16,9,4,3,2,1,1,3
58,241,79,40,7,232.0,1.0,105,28,12,7,0,1,1,1,-1,2
59,245,69,34,9,236.0,1.0,95,28,2,1,2,2,-2,-1,-1,1
60,249,62,30,2,240.0,1.0,105,29,-5,-3,7,5,-2,-1,-1,0
61,253,71,35,11,244.0,0.5,95,29,4,2,4,3,2,1,1,1
62,258,74,37,2,248.0,1.0,105,30,7,4,7,5,-2,-1,1,2
63,262,67,33,7,252.0,1.0,95,30,0,0,0,1,-4,-2,-1,1
