,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,1.0,105,0,0,0,0,1,0,0,0,0
1,6,64,31,4,4.0,1.33,95,0,-5,-3,7,5,-2,-1,-1,-1
2,10,73,36,1,8.0,1.33,105,1,4,2,4,3,2,1,1,0
3,14,71,35,11,12.0,1.33,95,1,2,1,2,2,-2,-1,-1,-1
4,18,69,34,9,16.0,1.0,105,2,0,0,0,1,5,3,-1,-2
5,24,64,31,4,20.0,1.33,95,2,-5,-3,7,5,-2,-1,-1,-3
6,28,73,36,1,24.0,1.33,105,3,4,2,4,3,2,1,1,-2
7,32,71,35,11,28.0,3.0,95,3,2,1,2,2,-2,-1,-1,-3
8,33,69,34,9,32.0,1.0,105,4,0,0,0,1,-2,-1,-1,-4
9,39,64,31,4,36.0,1.33,95,4,-5,-3,7,5,-2,-1,-1,-5
10,43,73,36,1,40.0,1.33,105,5,4,2,4,3,2,1,1,-4
11,47,71,35,11,44.0,1.33,95,5,2,1,2,2,-2,-1,-1,-5
12,51,69,34,9,48.0,1.33,105,6,0,0,0,1,5,3,-1,-6
13,55,73,36,1,52.0,1.33,95,6,4,2,4,3,4,2,1,-5
14,59,68,33,8,56.0,1.33,105,7,-1,-1,11,7,-1,-1,-1,-6
15,63,71,35,11,60.0,1.33,95,7,2,1,2,2,3,2,1,-5
16,67,69,34,9,64.0,1.0,105,8,0,0,0,1,1,1,-1,-6
17,73,64,31,4,68.0,1.33,95,8,-5,-3,7,5,-2,-1,-1,-7
18,77,73,36,1,72.0,1.33,105,9,4,2,4,3,2,1,1,-6
19,81,71,35,11,76.0,1.33,95,9,2,1,2,2,-2,-1,-1,-7
20,85,69,34,9,80.0,1.0,105,10,0,0,0,1,5,3,-1,-8
21,91,64,31,4,84.0,1.33,95,10,-5,-3,7,5,-2,-1,-1,-9
22,95,73,36,1,88.0,1.33,105,11,4,2,4,3,2,1,1,-8
23,99,71,35,11,92.0,3.0,95,11,2,1,2,2,-2,-1,-1,-9
24,100,69,34,9,96.0,1.0,105,12,0,0,0,1,-2,-1,-1,-10
25,106,64,31,4,100.0,1.33,95,12,-5,-3,7,5,-2,-1,-1,-11
26,110,73,36,1,104.0,1.33,105,13,4,2,4,3,2,1,1,-10
27,114,71,35,11,108.0,1.33,95,13,2,1,2,2,-2,-1,-1,-11
28,118,69,34,9,112.0,1.33,105,14,0,0,0,1,5,3,-1,-12
29,122,73,36,1,116.0,1.33,95,14,4,2,4,3,4,2,1,-11
30,126,68,33,8,120.0,1.33,105,15,-1,-1,11,7,-1,-1,-1,-12
31,130,71,35,11,124.0,1.33,95,15,2,1,2,2,3,2,1,-11
32,134,69,34,9,128.0,2.0,105,16,0,0,0,1,1,1,-1,-12
33,137,73,36,1,132.0,0.67,95,16,4,2,4,3,4,2,1,-11
34,142,74,37,2,136.0,1.33,105,17,5,3,5,4,-2,-1,1,-10
35,146,73,36,1,140.0,1.33,95,17,4,2,4,3,4,2,-1,-11
36,150,69,34,9,144.0,2.0,105,18,0,0,0,1,1,1,-1,-12
37,153,73,36,1,148.0,0.67,95,18,4,2,4,3,4,2,1,-11
38,158,74,37,2,152.0,1.33,105,19,5,3,5,4,-2,-1,1,-10
39,162,68,33,8,156.0,1.33,95,19,-1,-1,11,7,-1,-1,-1,-11
40,166,69,34,9,160.0,2.0,105,20,0,0,0,1,1,1,1,-10
41,169,73,36,1,164.0,0.67,95,20,4,2,4,3,4,2,1,-9
42,174,74,37,2,168.0,1.33,105,21,5,3,5,4,-2,-1,1,-8
43,178,73,36,1,172.0,1.33,95,21,4,2,4,3,4,2,-1,-9
44,182,69,34,9,176.0,1.0,105,22,0,0,0,1,1,1,-1,-10
45,188,64,31,4,180.0,1.33,95,22,-5,-3,7,5,-2,-1,-1,-11
46,192,73,36,1,184.0,1.33,105,23,4,2,4,3,2,1,1,-10
47,196,71,35,11,188.0,4.0,95,23,2,1,2,2,-2,-1,-1,-11
48,197,69,34,9,192.0,2.0,105,24,0,0,0,1,-2,-1,-1,-12
49,200,73,36,1,196.0,0.67,95,24,4,2,4,3,4,2,1,-11
50,205,74,37,2,200.0,1.33,105,25,5,3,5,4,-2,-1,1,-10
51,209,73,36,1,204.0,1.33,95,25,4,2,4,3,4,2,-1,-11
52,213,69,34,9,208.0,2.0,105,26,0,0,0,1,1,1,-1,-12
53,216,73,36,1,212.0,0.67,95,26,4,2,4,3,4,2,1,-11
54,221,74,37,2,216.0,1.33,105,27,5,3,5,4,-2,-1,1,-10
55,225,68,33,8,220.0,1.33,95,27,-1,-1,11,7,-1,-1,-1,-11
56,229,69,34,9,224.0,2.0,105,28,0,0,0,1,1,1,1,-10
57,232,73,36,1,228.0,0.67,95,28,4,2,4,3,4,2,1,-9
58,237,74,37,2,232.0,1.33,105,29,5,3,5,4,-2,-1,1,-8
59,241,73,36,1,236.0,1.33,95,29,4,2,4,3,4,2,-1,-9
60,245,69,34,9,240.0,1.0,105,30,0,0,0,1,1,1,-1,-10
61,251,64,31,4,244.0,1.33,95,30,-5,-3,7,5,-2,-1,-1,-11
62,255,73,36,1,248.0,1.33,105,31,4,2,4,3,2,1,1,-10
63,259,71,35,11,252.0,4.0,95,31,2,1,2,2,-2,-1,-1,-11
64,260,73,36,1,256.0,1.33,105,32,4,2,4,3,2,1,1,-10
65,264,74,37,2,260.0,1.33,95,32,5,3,5,4,5,3,1,-9
66,268,73,36,1,264.0,1.33,105,33,4,2,4,3,4,2,-1,-10
67,272,76,38,4,268.0,1.33,95,33,7,4,7,5,7,4,1,-9
68,275,73,36,1,272.0,1.33,105,34,4,2,4,3,-3,-2,-1,-10
69,279,74,37,2,276.0,1.33,95,34,5,3,5,4,5,3,1,-9
70,283,73,36,1,280.0,1.33,105,35,4,2,4,3,4,2,-1,-10
71,287,71,35,11,284.0,1.33,95,35,2,1,2,2,2,1,-1,-11
72,290,73,36,1,288.0,1.33,105,36,4,2,4,3,7,4,1,-10
73,294,74,37,2,292.0,1.33,95,36,5,3,5,4,5,3,1,-9
74,298,73,36,1,296.0,1.33,105,37,4,2,4,3,4,2,-1,-10
75,302,76,38,4,300.0,1.33,95,37,7,4,7,5,7,4,1,-9
76,305,73,36,1,304.0,1.33,105,38,4,2,4,3,-3,-2,-1,-10
77,309,74,37,2,308.0,1.33,95,38,5,3,5,4,5,3,1,-9
78,313,73,36,1,312.0,1.33,105,39,4,2,4,3,4,2,-1,-10
79,317,71,35,11,316.0,1.33,95,39,2,1,2,2,2,1,-1,-11
