,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,71,35,11,0.0,2.0,105,0,4,2,4,3,0,0,0,0
1,2,69,34,9,3.0,1.0,95,0,2,1,2,2,2,1,-1,-1
2,5,67,33,7,6.0,1.0,105,1,0,0,0,1,3,2,-1,-2
3,8,67,33,7,9.0,2.0,95,1,0,0,0,1,5,3,0,-2
4,10,76,38,4,12.0,1.0,105,2,9,5,9,6,2,1,1,-1
5,13,74,37,2,15.0,1.0,95,2,7,4,7,5,3,2,-1,-2
6,16,81,41,9,18.0,1.0,105,3,14,8,2,2,-2,-1,1,-1
7,19,74,37,2,21.0,1.0,95,3,7,4,7,5,-2,-1,-1,-2
8,22,71,35,11,24.0,2.0,105,4,4,2,4,3,2,1,-1,-3
9,24,69,34,9,27.0,1.0,95,4,2,1,2,2,2,1,-1,-4
10,27,67,33,7,30.0,1.0,105,5,0,0,0,1,3,2,-1,-5
11,30,67,33,7,33.0,2.0,95,5,0,0,0,1,5,3,0,-5
12,32,76,38,4,36.0,1.0,105,6,9,5,9,6,2,1,1,-4
13,35,74,37,2,39.0,1.0,95,6,7,4,7,5,3,2,-1,-5
14,38,71,35,11,42.0,1.0,105,7,4,2,4,3,2,1,-1,-6
15,41,67,33,7,45.0,3.0,95,7,0,0,0,1,0,0,-1,-7
16,42,71,35,11,48.0,2.0,105,8,4,2,4,3,4,2,1,-6
17,44,69,34,9,51.0,1.0,95,8,2,1,2,2,2,1,-1,-7
18,47,67,33,7,54.0,1.0,105,9,0,0,0,1,3,2,-1,-8
19,50,67,33,7,57.0,2.0,95,9,0,0,0,1,5,3,0,-8
20,52,76,38,4,60.0,1.0,105,10,9,5,9,6,2,1,1,-7
21,55,74,37,2,63.0,1.0,95,10,7,4,7,5,3,2,-1,-8
22,58,81,41,9,66.0,1.0,105,11,14,8,2,2,-2,-1,1,-7
23,61,74,37,2,69.0,1.0,95,11,7,4,7,5,-2,-1,-1,-8
24,64,71,35,11,72.0,2.0,105,12,4,2,4,3,2,1,-1,-9
25,66,69,34,9,75.0,1.0,95,12,2,1,2,2,2,1,-1,-10
26,69,67,33,7,78.0,1.0,105,13,0,0,0,1,3,2,-1,-11
27,72,67,33,7,81.0,2.0,95,13,0,0,0,1,5,3,0,-11
28,74,76,38,4,84.0,1.0,105,14,9,5,9,6,2,1,1,-10
29,77,74,37,2,87.0,1.0,95,14,7,4,7,5,3,2,-1,-11
30,80,71,35,11,90.0,1.0,105,15,4,2,4,3,2,1,-1,-12
31,83,67,33,7,93.0,3.0,95,15,0,0,0,1,0,0,-1,-13
32,84,79,40,7,96.0,1.0,105,16,12,7,0,1,12,7,1,-12
33,89,76,38,4,99.0,1.0,95,16,9,5,9,6,-3,-2,-1,-13
34,92,74,37,2,102.0,1.0,105,17,7,4,7,5,3,2,-1,-14
35,95,81,41,9,105.0,1.0,95,17,14,8,2,2,-2,-1,1,-13
36,98,79,40,7,108.0,1.0,105,18,12,7,0,1,3,2,-1,-14
37,103,76,38,4,111.0,1.0,95,18,9,5,9,6,-3,-2,-1,-15
38,106,67,33,7,114.0,1.0,105,19,0,0,0,1,-4,-2,-1,-16
39,109,76,38,4,117.0,3.0,95,19,9,5,9,6,2,1,1,-15
40,110,79,40,7,120.0,1.0,105,20,12,7,0,1,3,2,1,-14
41,115,76,38,4,123.0,1.0,95,20,9,5,9,6,-3,-2,-1,-15
42,118,74,37,2,126.0,1.0,105,21,7,4,7,5,3,2,-1,-16
43,121,81,41,9,129.0,1.0,95,21,14,8,2,2,-2,-1,1,-15
44,124,74,37,2,132.0,1.0,105,22,7,4,7,5,-2,-1,-1,-16
45,127,79,40,7,135.0,1.0,95,22,12,7,0,1,5,3,1,-15
46,130,69,34,9,138.0,1.0,105,23,2,1,2,2,-2,-1,-1,-16
47,133,67,33,7,141.0,3.0,95,23,0,0,0,1,1,1,-1,-17
48,134,79,40,7,144.0,1.0,105,24,12,7,0,1,12,7,1,-16
49,139,76,38,4,147.0,1.0,95,24,9,5,9,6,-3,-2,-1,-17
50,142,74,37,2,150.0,1.0,105,25,7,4,7,5,3,2,-1,-18
51,145,81,41,9,153.0,1.0,95,25,14,8,2,2,-2,-1,1,-17
52,148,79,40,7,156.0,1.0,105,26,12,7,0,1,3,2,-1,-18
53,153,76,38,4,159.0,1.0,95,26,9,5,9,6,-3,-2,-1,-19
54,156,67,33,7,162.0,1.0,105,27,0,0,0,1,-4,-2,-1,-20
55,159,76,38,4,165.0,3.0,95,27,9,5,9,6,2,1,1,-19
56,160,79,40,7,168.0,1.0,105,28,12,7,0,1,3,2,1,-18
57,165,76,38,4,171.0,1.0,95,28,9,5,9,6,-3,-2,-1,-19
58,168,74,37,2,174.0,1.0,105,29,7,4,7,5,3,2,-1,-20
59,171,81,41,9,177.0,1.0,95,29,14,8,2,2,-2,-1,1,-19
60,174,74,37,2,180.0,1.0,105,30,7,4,7,5,-2,-1,-1,-20
61,177,79,40,7,183.0,1.0,95,30,12,7,0,1,5,3,1,-19
62,180,69,34,9,186.0,1.0,105,31,2,1,2,2,-2,-1,-1,-20
63,183,67,33,7,189.0,3.0,95,31,0,0,0,1,1,1,-1,-21
